model_key,structural_model_id,source_group,family_group,structural_excel_row,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm
VF60_B5,VF60_B5. FCC,bcl,B,166,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.119822968134756,666,2800,8.408408408408409,2.308830030479394,8.408408408408409,2.308830030479394,4.242640687119285,0,35.35714285714099,18.46466564958602,4.242640687119285,0,36.1936936936937,8.5248432626002,2.356794780459714,0,2.356794780459714,0,27.32142857142728,21.97734803224887,26.90315315315316,5.535922113947847,27.32142857142728,21.97734803224884,26.90315315315316,5.535922113947847,1,808,11879.39392393435,0.900087,0,1.800174,67182.88374265691,2.222007428170833,30235.22013963841,30,30,30,5.030698080332741e-17,2.949029909160572e-17,-6.071532165918825e-18
VF30_C1,VF30_C1. SC+FCC,bcl,C,167,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4689480572526327,666,3340,10.03003003003003,3.497668267198523,10.03003003003003,3.497668267198523,4.526764647884431,0.6470755942755623,34.20913765637215,25.66015210277854,4.463207075045331,0.3218293948774661,36.1936936936937,8.841568619718874,4.383851101960517,0.6266469051671146,4.322300092044675,0.3116689859359542,27.89543117181107,27.68459197936368,26.90315315315316,6.012222272753585,27.89543117181105,27.68459197936368,26.90315315315316,6.012222272753585,1,1348,15119.39392393467,0.5163,0,1.0326,49047.44352438927,3.873716831299634,12661.59754582108,30,30,30,7.308390004290288e-15,1.465841337200402e-16,-1.48318857196017e-16
VF45_C1,VF45_C1. SC+FCC,bcl,C,168,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.7775037860020123,666,3340,10.03003003003003,3.497668267198523,10.03003003003003,3.497668267198523,4.526764647884431,0.6470755942755623,34.20913765637215,25.66015210277854,4.463207075045331,0.3218293948774661,36.1936936936937,8.841568619718874,3.404606383787929,0.4866693699425106,3.356804358487764,0.242049785557661,27.89543117181107,27.68459197936368,26.90315315315316,6.012222272753585,27.89543117181105,27.68459197936368,26.90315315315316,6.012222272753585,1,1348,15119.39392393467,0.6648000000000001,0,1.3296,63154.63965720314,3.008423586040914,20992.60222205433,30,30,30,6.95450641519102e-15,1.821459649775647e-16,-8.673617379884035e-18
VF60_C1,VF60_C1. SC+FCC,bcl,C,169,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.154652668513701,666,3340,10.03003003003003,3.497668267198523,10.03003003003003,3.497668267198523,4.526764647884431,0.6470755942755623,34.20913765637215,25.66015210277854,4.463207075045331,0.3218293948774661,36.1936936936937,8.841568619718874,2.793781798361063,0.3993554244742099,2.754555992745375,0.1986233381950665,27.89543117181107,27.68459197936368,26.90315315315316,6.012222272753585,27.89543117181105,27.68459197936368,26.90315315315316,6.012222272753585,1,1348,15119.39392393467,0.8101499999999999,0,1.6203,76962.59223568458,2.46867863975807,31175.62204986993,30,30,30,7.306655280814311e-15,2.55871712706579e-16,-4.336808689942018e-18
VF30_C2,VF30_C2. SC2+FCC,bcl,C,170,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4600548699315015,791,4090,10.34134007585335,3.484838441221803,10.34134007585335,3.484838441221803,4.24679558042396,0.8312987609941442,33.66389354662838,28.43090408566867,4.115528072680853,0.6173907124052705,34.05212968020859,5.341094515439157,4.450532035966432,0.8711796217171099,4.312967079653219,0.6470095139341482,28.16805322668272,30.01369685441088,27.97393515989571,5.10348667531884,28.16805322668271,30.01369685441078,27.97393515989571,5.103486675318841,1,1723,17369.39392393488,0.477111,0,0.954222,52069.5665710937,4.191896644596332,12421.48148815054,30,30,30,-6.973588373426765e-16,-3.920475055707584e-16,-1.474514954580286e-16
VF45_C2,VF45_C2. SC2+FCC,bcl,C,171,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.7639531860381203,791,4090,10.34134007585335,3.484838441221803,10.34134007585335,3.484838441221803,4.24679558042396,0.8312987609941442,33.66389354662838,28.43090408566867,4.115528072680853,0.6173907124052705,34.05212968020859,5.341094515439157,3.453690169825283,0.6760505196595298,3.346937374093925,0.5020906219749446,28.16805322668272,30.01369685441088,27.97393515989571,5.10348667531884,28.16805322668271,30.01369685441078,27.97393515989571,5.103486675318841,1,1723,17369.39392393488,0.6148199999999999,0,1.22964,67098.45490722249,3.252984613382781,20626.73602302925,30,30,30,-6.453171330633722e-16,-1.431146867680866e-16,-4.336808689942018e-18
VF60_C2,VF60_C2. SC2+FCC,bcl,C,172,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.137679226430498,791,4090,10.34134007585335,3.484838441221803,10.34134007585335,3.484838441221803,4.24679558042396,0.8312987609941442,33.66389354662838,28.43090408566867,4.115528072680853,0.6173907124052705,34.05212968020859,5.341094515439157,2.830132923636686,0.5539908734276873,2.742654143829156,0.4114391071658861,28.16805322668272,30.01369685441088,27.97393515989571,5.10348667531884,28.16805322668271,30.01369685441078,27.97393515989571,5.103486675318841,1,1723,17369.39392393488,0.750282,0,1.500564,81882.11662714405,2.665664376860967,30717.33911362344,30,30,30,-6.973588373426765e-16,-1.97758476261356e-16,1.214306433183765e-17
VF30_C3,VF30_C3. SC8+FCC,bcl,C,173,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.5169650717817174,1331,6430,9.66190833959429,4.680294537420224,9.66190833959429,4.680294537420224,3.541118806210575,0.61617021083459,32.79496285756844,32.34088897438314,3.37221086565787,0.3742455800588115,32.015555085964,6.784612512449792,4.008193607265187,0.697443275758758,3.817006650659185,0.4236087021164402,28.60251857121288,33.38680318599222,28.992222457018,5.764613374742616,28.60251857121288,33.38680318599218,28.992222457018,5.764613374742616,1,2443,22769.39392393512,0.441735,0,0.88347,63196.51799430143,4.527601389973627,13958.05693810637,30,30,30,-3.131175874138137e-16,5.056718932472393e-16,-6.505213034913027e-19
VF45_C3,VF45_C3. SC8+FCC,bcl,C,174,Imported,"B, C, L model_30 mm_merge.xlsx",0.45,0.8220817771870659,1331,6430,9.66190833959429,4.680294537420224,9.66190833959429,4.680294537420224,3.541118806210575,0.61617021083459,32.79496285756844,32.34088897438314,3.37221086565787,0.3742455800588115,32.015555085964,6.784612512449792,3.178496818208446,0.5530723937241738,3.026885595598428,0.3359216254928358,28.60251857121288,33.38680318599222,28.992222457018,5.764613374742616,28.60251857121288,33.38680318599218,28.992222457018,5.764613374742616,1,2443,22769.39392393512,0.557043,0,1.114086,79692.97876124746,3.590387097584927,22196.20798405078,30,30,30,-3.131175874138137e-16,5.056718932472393e-16,-6.505213034913027e-19
VF60_C3,VF60_C3. SC8+FCC,bcl,C,175,Imported,"B, C, L model_30 mm_merge.xlsx",0.6,1.197841754312316,1331,6430,9.66190833959429,4.680294537420224,9.66190833959429,4.680294537420224,3.541118806210575,0.61617021083459,32.79496285756844,32.34088897438314,3.37221086565787,0.3742455800588115,32.015555085964,6.784612512449792,2.633174058945557,0.4581838407169711,2.507574204280062,0.2782888140769413,28.60251857121288,33.38680318599222,28.992222457018,5.764613374742616,28.60251857121288,33.38680318599218,28.992222457018,5.764613374742616,1,2443,22769.39392393512,0.672405,0,1.34481,96197.16500154676,2.974397870331124,32341.72736643253,30,30,30,-3.209238430557093e-16,4.891920202254596e-16,7.806255641895632e-18
