model_id,component_scope,slice_index_a,slice_index_b,pair_index,component_index,red_px,blue_px,purple_px,combined_px,red_area,blue_area,purple_area,combined_area,rp_contact_length,bp_contact_length,combined_perimeter_length,mass_weight_area,physical_weight_volume,mass_orientation,thickness_sqrt_red_purple,thickness_area_red_purple,thickness_equiv_diameter_red_purple,pa_current_red_purple,pa_pixel_unit_red_purple,leff_contact_sum,leff_change_area_over_contact,leff_combined_area_over_perimeter,angle_current_2h_contact_sum,angle_h_contact_sum,angle_h_change_area_over_contact,angle_h_combined_area_over_perimeter,curvature_current_contact_sum_over_2h,curvature_area_over_h_contact_sum,curvature_area_over_h_change_contact,curvature_area_over_h_perimeter_leff,connectivity,min_component_pixels
F1,overlay_union,2,3,2,18,0,258,4438,4696,0.0,0.4128,7.1008000000000004,7.5136,0.0,10.120000000000001,11.576568541526795,7.307200000000001,0.3653600000000001,0.9717538865776221,2.664732631991435,7.1008000000000004,3.0068287878187285,1.5852535688270046,0.06341014275308018,0.04079051383399209,0.04079051383399209,0.6490351586523805,67.80920015485563,50.792080852411324,50.792080852411324,4.405218652968438,0.40790513833992087,202.4,202.4,12.720420288389747,8,2
F1,overlay_union,2,3,2,19,0,2128,2376,4504,0.0,3.4048000000000003,3.8016,7.2064,0.0,7.68,11.336568541526795,5.5040000000000004,0.27520000000000006,0.6906976744186046,1.9497692171126304,3.8016,2.20007896523402,2.6812755374193995,0.10725102149677598,0.4433333333333334,0.4433333333333334,0.635677363357559,12.711132565529487,6.434739151036719,6.434739151036719,4.497411753310601,4.433333333333334,153.59999999999997,153.59999999999997,107.12352511709156,8,2
F1,overlay_union,2,3,2,20,0,3594,0,3594,0.0,5.7504,0.0,5.7504,0.0,0.0,10.32,2.8752,0.14376,0.0,0.0,0.0,,,,,,0.5572093023255814,,,,5.127582783801733,,,,206.4,8,2
F1,overlay_union,3,4,3,1,0,195,4944,5139,0.0,0.312,7.9104,8.2224,0.0,7.76,12.056568541526795,8.0664,0.40332,0.9806605177030646,2.8125433329995113,7.9104,3.1736153035100254,1.493801646127477,0.05975206584509908,0.04020618556701031,0.04020618556701031,0.6819850915025569,68.09682191816084,51.19641342910433,51.19641342910433,4.193159961822748,0.4020618556701031,155.19999999999996,155.19999999999996,9.149760130755885,8,2
F1,overlay_union,3,4,3,2,0,279,4696,4975,0.0,0.4464,7.5136,7.96,0.0,11.0,11.84,7.736800000000001,0.3868400000000001,0.9711508634060593,2.7410946718418905,7.5136,3.0929941227428994,1.5407485814425568,0.06162994325770227,0.040581818181818184,0.040581818181818184,0.6722972972972973,67.91179135970333,50.935959775775096,50.935959775775096,4.253363155876078,0.4058181818181818,220.0,220.0,13.279839195979902,8,2
F1,overlay_union,3,4,3,3,0,186,4504,4690,0.0,0.29760000000000003,7.2064,7.5040000000000004,0.0,7.4,11.576568541526795,7.3552,0.36776000000000003,0.9797694148357625,2.684473877690003,7.2064,3.0291043981975063,1.573125075145259,0.06292500300581036,0.04021621621621622,0.04021621621621622,0.6482058973764192,68.09187471320334,51.189433563337346,51.189433563337346,4.410832101226539,0.40216216216216216,148.0,148.0,9.182267585176904,8,2
F1,overlay_union,3,4,3,4,0,914,3594,4508,0.0,1.4624000000000001,5.7504,7.2128000000000005,0.0,10.32,11.36,6.4816,0.32408000000000003,0.8871883485559121,2.397999165971498,5.7504,2.7058523015946525,1.7946577629382305,0.07178631051752922,0.14170542635658917,0.14170542635658917,0.6349295774647888,35.21020885711841,19.43511617258994,19.43511617258994,4.502686794255578,1.4170542635658916,206.39999999999998,206.39999999999998,46.06495119787045,8,2
F1,overlay_union,3,4,3,5,0,4180,0,4180,0.0,6.688000000000001,0.0,6.688000000000001,0.0,0.0,10.96,3.3440000000000003,0.16720000000000002,0.0,0.0,0.0,,,,,,0.6102189781021898,,,,4.684225780672678,,,,219.2,8,2
F1,overlay_union,3,4,3,6,0,227,4975,5202,0.0,0.3632,7.96,8.3232,0.0,8.92,12.08,8.1416,0.40708000000000005,0.97769480200452,2.821347195933177,7.96,3.183549399034338,1.4874371859296482,0.05949748743718593,0.04071748878923767,0.04071748878923767,0.6890066225165563,67.8450810120517,50.842358900071304,50.842358900071304,4.150578397091759,0.4071748878923767,178.4,178.4,10.542714340638216,8,2
F1,overlay_union,3,4,3,7,0,296,4704,5000,0.0,0.4736,7.526400000000001,8.0,0.0,11.52,11.84,7.7632,0.38816000000000006,0.9694971145919209,2.7434285119171595,7.526400000000001,3.0956275792631662,1.530612244897959,0.061224489795918366,0.04111111111111111,0.04111111111111111,0.6756756756756757,67.65189165209058,50.5721978039638,50.5721978039638,4.232173804553947,0.4111111111111111,230.4,230.4,14.018559999999999,8,2
F1,overlay_union,3,4,3,8,0,197,4482,4679,0.0,0.31520000000000004,7.171200000000001,7.486400000000001,0.0,7.8,11.52,7.328800000000001,0.3664400000000001,0.9784957974020303,2.677909632530568,7.171200000000001,3.0216974407118924,1.5808467957283012,0.06323387182913205,0.04041025641025642,0.04041025641025642,0.6498611111111112,67.99624002344747,51.05467882570578,51.05467882570578,4.399641759452491,0.4041025641025642,156.0,156.0,9.700534302201325,8,2
F1,overlay_union,3,4,3,9,0,863,3639,4502,0.0,1.3808,5.8224,7.203200000000001,0.0,8.92,11.336568541526795,6.5128,0.32564000000000004,0.8939933669082422,2.412964981096908,5.8224,2.722739415600768,1.7821806371130107,0.07128722548452043,0.1547982062780269,0.1547982062780269,0.6353950909937235,32.8625537400081,17.900516723745756,17.900516723745756,4.499401512827647,1.547982062780269,178.4,178.4,43.462721685196016,8,2
F1,overlay_union,3,4,3,10,0,4244,0,4244,0.0,6.7904,0.0,6.7904,0.0,0.0,11.016568541526794,3.3952,0.16976000000000002,0.0,0.0,0.0,,,,,,0.616380679192771,,,,4.637604803598275,,,,220.3313708305359,8,2
F1,overlay_union,3,4,3,11,0,188,4912,5100,0.0,0.3008,7.8592,8.16,0.0,7.5200000000000005,12.0,8.0096,0.40048000000000006,0.9812225329604475,2.8034264748696374,7.8592,3.1633280307269103,1.510731000999286,0.060429240039971445,0.04,0.04,0.68,68.19859051364818,51.34019174590991,51.34019174590991,4.205357001708587,0.39999999999999997,150.4,150.4,8.847058823529412,8,2
F1,overlay_union,3,4,3,12,0,236,4742,4978,0.0,0.3776,7.5872,7.9648,0.0,9.36,11.873137083053589,7.776,0.38880000000000003,0.9757201646090535,2.754487248109891,7.5872,3.1081060267974494,1.5227141874543426,0.06090856749817371,0.04034188034188034,0.04034188034188034,0.6708252371959961,68.0299251795026,51.10210552221388,51.10210552221388,4.262662378289527,0.4034188034188034,187.2,187.2,11.257775619126745,8,2
F1,overlay_union,3,4,3,13,0,218,4508,4726,0.0,0.3488,7.2128000000000005,7.5616,0.0,8.56,11.6,7.387200000000001,0.3693600000000001,0.9763915962746371,2.685665653055123,7.2128000000000005,3.0304491726913656,1.5749778172138418,0.06299911268855368,0.040747663551401865,0.040747663551401865,0.6518620689655172,67.83025242173126,50.82157473085954,50.82157473085954,4.386189388116245,0.40747663551401864,171.2,171.2,10.7016504443504,8,2
F1,overlay_union,3,4,3,14,0,914,3594,4508,0.0,1.4624000000000001,5.7504,7.2128000000000005,0.0,10.32,11.36,6.4816,0.32408000000000003,0.8871883485559121,2.397999165971498,5.7504,2.7058523015946525,1.7946577629382305,0.07178631051752922,0.14170542635658917,0.14170542635658917,0.6349295774647888,35.21020885711841,19.43511617258994,19.43511617258994,4.502686794255578,1.4170542635658916,206.39999999999998,206.39999999999998,46.06495119787045,8,2
F1,overlay_union,3,4,3,15,0,4180,0,4180,0.0,6.688000000000001,0.0,6.688000000000001,0.0,0.0,10.96,3.3440000000000003,0.16720000000000002,0.0,0.0,0.0,,,,,,0.6102189781021898,,,,4.684225780672678,,,,219.2,8,2
F1,overlay_union,3,4,3,16,0,227,4975,5202,0.0,0.3632,7.96,8.3232,0.0,8.92,12.08,8.1416,0.40708000000000005,0.97769480200452,2.821347195933177,7.96,3.183549399034338,1.4874371859296482,0.05949748743718593,0.04071748878923767,0.04071748878923767,0.6890066225165563,67.8450810120517,50.842358900071304,50.842358900071304,4.150578397091759,0.4071748878923767,178.4,178.4,10.542714340638216,8,2
F1,overlay_union,3,4,3,17,0,296,4704,5000,0.0,0.4736,7.526400000000001,8.0,0.0,11.52,11.84,7.7632,0.38816000000000006,0.9694971145919209,2.7434285119171595,7.526400000000001,3.0956275792631662,1.530612244897959,0.061224489795918366,0.04111111111111111,0.04111111111111111,0.6756756756756757,67.65189165209058,50.5721978039638,50.5721978039638,4.232173804553947,0.4111111111111111,230.4,230.4,14.018559999999999,8,2
F1,overlay_union,3,4,3,18,0,197,4482,4679,0.0,0.31520000000000004,7.171200000000001,7.486400000000001,0.0,7.8,11.52,7.328800000000001,0.3664400000000001,0.9784957974020303,2.677909632530568,7.171200000000001,3.0216974407118924,1.5808467957283012,0.06323387182913205,0.04041025641025642,0.04041025641025642,0.6498611111111112,67.99624002344747,51.05467882570578,51.05467882570578,4.399641759452491,0.4041025641025642,156.0,156.0,9.700534302201325,8,2
F1,overlay_union,3,4,3,19,0,863,3639,4502,0.0,1.3808,5.8224,7.203200000000001,0.0,8.92,11.336568541526795,6.5128,0.32564000000000004,0.8939933669082422,2.412964981096908,5.8224,2.722739415600768,1.7821806371130107,0.07128722548452043,0.1547982062780269,0.1547982062780269,0.6353950909937235,32.8625537400081,17.900516723745756,17.900516723745756,4.499401512827647,1.547982062780269,178.4,178.4,43.462721685196016,8,2
F1,overlay_union,3,4,3,20,0,4244,0,4244,0.0,6.7904,0.0,6.7904,0.0,0.0,11.016568541526794,3.3952,0.16976000000000002,0.0,0.0,0.0,,,,,,0.616380679192771,,,,4.637604803598275,,,,220.3313708305359,8,2
