bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v2.7-TECHNICAL,T3,T,LIT-X001::solid_chord_x_mean_mm,4.054949550751528,True,PRM082_existing
XREG-v2.7-TECHNICAL,T4,T,LIT-X001::solid_chord_x_mean_mm,1.5130845468944625,True,PRM082_existing
XREG-v2.7-TECHNICAL,T5,T,LIT-X001::solid_chord_x_mean_mm,2.971516867962223,True,PRM082_existing
XREG-v2.7-TECHNICAL,T6,T,LIT-X001::solid_chord_x_mean_mm,2.9705585311606373,True,PRM082_existing
XREG-v2.7-TECHNICAL,T7,T,LIT-X001::solid_chord_x_mean_mm,1.2326773186013356,True,PRM082_existing
XREG-v2.7-TECHNICAL,T8,T,LIT-X001::solid_chord_x_mean_mm,2.435674456068768,True,PRM082_existing
XREG-v2.7-TECHNICAL,T9,T,LIT-X001::solid_chord_x_mean_mm,2.436428487004989,True,PRM082_existing
XREG-v2.7-TECHNICAL,B1,B,LIT-X001::solid_chord_x_population_std_mm,7.7887155389648814,True,PRM082_existing
XREG-v2.7-TECHNICAL,B2,B,LIT-X001::solid_chord_x_population_std_mm,6.221300305592417,True,PRM082_existing
XREG-v2.7-TECHNICAL,B3,B,LIT-X001::solid_chord_x_population_std_mm,1.1130886454162725,True,PRM082_existing
XREG-v2.7-TECHNICAL,B4,B,LIT-X001::solid_chord_x_population_std_mm,0.8965006269057904,True,PRM082_existing
XREG-v2.7-TECHNICAL,B5,B,LIT-X001::solid_chord_x_population_std_mm,0.7767567762217819,True,PRM082_existing
XREG-v2.7-TECHNICAL,C1,C,LIT-X001::solid_chord_x_population_std_mm,2.131991967415181,True,PRM082_existing
XREG-v2.7-TECHNICAL,C10,C,LIT-X001::solid_chord_x_population_std_mm,4.633490997565329,True,PRM082_existing
XREG-v2.7-TECHNICAL,C11,C,LIT-X001::solid_chord_x_population_std_mm,3.206006036399406,True,PRM082_existing
XREG-v2.7-TECHNICAL,C12,C,LIT-X001::solid_chord_x_population_std_mm,2.9871459314425537,True,PRM082_existing
XREG-v2.7-TECHNICAL,C13,C,LIT-X001::solid_chord_x_population_std_mm,3.1920925578279125,True,PRM082_existing
XREG-v2.7-TECHNICAL,C14,C,LIT-X001::solid_chord_x_population_std_mm,2.801797195649595,True,PRM082_existing
XREG-v2.7-TECHNICAL,C2,C,LIT-X001::solid_chord_x_population_std_mm,2.6032249103407112,True,PRM082_existing
XREG-v2.7-TECHNICAL,C3,C,LIT-X001::solid_chord_x_population_std_mm,3.4155964428845027,True,PRM082_existing
XREG-v2.7-TECHNICAL,C4,C,LIT-X001::solid_chord_x_population_std_mm,3.7928469982727737,True,PRM082_existing
XREG-v2.7-TECHNICAL,C5,C,LIT-X001::solid_chord_x_population_std_mm,3.4831506260145697,True,PRM082_existing
XREG-v2.7-TECHNICAL,C6,C,LIT-X001::solid_chord_x_population_std_mm,5.069178899346936,True,PRM082_existing
XREG-v2.7-TECHNICAL,C7,C,LIT-X001::solid_chord_x_population_std_mm,1.7213995898716894,True,PRM082_existing
XREG-v2.7-TECHNICAL,C8,C,LIT-X001::solid_chord_x_population_std_mm,4.489773774108324,True,PRM082_existing
XREG-v2.7-TECHNICAL,C9,C,LIT-X001::solid_chord_x_population_std_mm,4.705590941324576,True,PRM082_existing
XREG-v2.7-TECHNICAL,F1,F,LIT-X001::solid_chord_x_population_std_mm,1.2283874669961563,True,PRM082_existing
XREG-v2.7-TECHNICAL,F2,F,LIT-X001::solid_chord_x_population_std_mm,1.2781334756319604,True,PRM082_existing
XREG-v2.7-TECHNICAL,L1,L,LIT-X001::solid_chord_x_population_std_mm,1.2660145252267887,True,PRM082_existing
XREG-v2.7-TECHNICAL,L10,L,LIT-X001::solid_chord_x_population_std_mm,5.990039858655339,True,PRM082_existing
XREG-v2.7-TECHNICAL,L11,L,LIT-X001::solid_chord_x_population_std_mm,1.070396084094025,True,PRM082_existing
XREG-v2.7-TECHNICAL,L12,L,LIT-X001::solid_chord_x_population_std_mm,1.6719287225655566,True,PRM082_existing
XREG-v2.7-TECHNICAL,L13,L,LIT-X001::solid_chord_x_population_std_mm,0.6708669578171853,True,PRM082_existing
XREG-v2.7-TECHNICAL,L14,L,LIT-X001::solid_chord_x_population_std_mm,0.7335349867332378,True,PRM082_existing
XREG-v2.7-TECHNICAL,L15,L,LIT-X001::solid_chord_x_population_std_mm,1.043545537807404,True,PRM082_existing
XREG-v2.7-TECHNICAL,L16,L,LIT-X001::solid_chord_x_population_std_mm,2.147109178376143,True,PRM082_existing
XREG-v2.7-TECHNICAL,L17,L,LIT-X001::solid_chord_x_population_std_mm,1.4122967297677969,True,PRM082_existing
XREG-v2.7-TECHNICAL,L18,L,LIT-X001::solid_chord_x_population_std_mm,1.5011250991388625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L19,L,LIT-X001::solid_chord_x_population_std_mm,3.025574582668898,True,PRM082_existing
XREG-v2.7-TECHNICAL,L2,L,LIT-X001::solid_chord_x_population_std_mm,0.8505318700908896,True,PRM082_existing
XREG-v2.7-TECHNICAL,L20,L,LIT-X001::solid_chord_x_population_std_mm,1.0767993236906968,True,PRM082_existing
XREG-v2.7-TECHNICAL,L3,L,LIT-X001::solid_chord_x_population_std_mm,2.3676556882167588,True,PRM082_existing
XREG-v2.7-TECHNICAL,L4,L,LIT-X001::solid_chord_x_population_std_mm,3.821009999547663,True,PRM082_existing
XREG-v2.7-TECHNICAL,L5,L,LIT-X001::solid_chord_x_population_std_mm,2.3019574157841,True,PRM082_existing
XREG-v2.7-TECHNICAL,L6,L,LIT-X001::solid_chord_x_population_std_mm,4.132723536569559,True,PRM082_existing
XREG-v2.7-TECHNICAL,L7,L,LIT-X001::solid_chord_x_population_std_mm,5.907415907114732,True,PRM082_existing
XREG-v2.7-TECHNICAL,L8,L,LIT-X001::solid_chord_x_population_std_mm,1.0661038639810392,True,PRM082_existing
XREG-v2.7-TECHNICAL,L9,L,LIT-X001::solid_chord_x_population_std_mm,2.2389547587676044,True,PRM082_existing
XREG-v2.7-TECHNICAL,T1,T,LIT-X001::solid_chord_x_population_std_mm,0.854578433577391,True,PRM082_existing
XREG-v2.7-TECHNICAL,T10,T,LIT-X001::solid_chord_x_population_std_mm,1.5114882958399345,True,PRM082_existing
XREG-v2.7-TECHNICAL,T11,T,LIT-X001::solid_chord_x_population_std_mm,0.5944100092693414,True,PRM082_existing
XREG-v2.7-TECHNICAL,T12,T,LIT-X001::solid_chord_x_population_std_mm,1.6255528319239232,True,PRM082_existing
XREG-v2.7-TECHNICAL,T13,T,LIT-X001::solid_chord_x_population_std_mm,0.7839457741362021,True,PRM082_existing
XREG-v2.7-TECHNICAL,T14,T,LIT-X001::solid_chord_x_population_std_mm,1.3013260326919156,True,PRM082_existing
XREG-v2.7-TECHNICAL,T15,T,LIT-X001::solid_chord_x_population_std_mm,0.9947982834060408,True,PRM082_existing
XREG-v2.7-TECHNICAL,T16,T,LIT-X001::solid_chord_x_population_std_mm,3.14498198708185,True,PRM082_existing
XREG-v2.7-TECHNICAL,T17,T,LIT-X001::solid_chord_x_population_std_mm,3.505047952319228,True,PRM082_existing
XREG-v2.7-TECHNICAL,T2,T,LIT-X001::solid_chord_x_population_std_mm,4.650365405669748,True,PRM082_existing
XREG-v2.7-TECHNICAL,T3,T,LIT-X001::solid_chord_x_population_std_mm,4.989519811537592,True,PRM082_existing
XREG-v2.7-TECHNICAL,T4,T,LIT-X001::solid_chord_x_population_std_mm,0.8785408704396978,True,PRM082_existing
XREG-v2.7-TECHNICAL,T5,T,LIT-X001::solid_chord_x_population_std_mm,2.7505049394076493,True,PRM082_existing
XREG-v2.7-TECHNICAL,T6,T,LIT-X001::solid_chord_x_population_std_mm,2.7434024765542526,True,PRM082_existing
XREG-v2.7-TECHNICAL,T7,T,LIT-X001::solid_chord_x_population_std_mm,2.6181670588443016,True,PRM082_existing
XREG-v2.7-TECHNICAL,T8,T,LIT-X001::solid_chord_x_population_std_mm,0.6837381977291633,True,PRM082_existing
XREG-v2.7-TECHNICAL,T9,T,LIT-X001::solid_chord_x_population_std_mm,0.6837343506642801,True,PRM082_existing
XREG-v2.7-TECHNICAL,B1,B,LIT-X001::solid_chord_x_q10_mm,1.5625,True,PRM082_existing
