model_id,slice_index,source_sha256,replay_hash,expected_hash,exact,evidence
L1,600,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,True,IMSTL-006 trace packedbits
L1,700,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,True,IMSTL-006 trace packedbits
L1,799,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,True,IMSTL-006 trace packedbits
L1,800,7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,True,IMSTL-006 trace packedbits
T1,0,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-006 trace packedbits
T1,1,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,563973e69945bbaf6d3c2d12fc51d2730c7d57b171812f1a91078c97e75534be,563973e69945bbaf6d3c2d12fc51d2730c7d57b171812f1a91078c97e75534be,True,IMSTL-006 trace packedbits
T1,100,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,2e2f1c4d6d41a28b6e96f8e2dfe1afae0ded08216e12a03081b572c54b8af37d,2e2f1c4d6d41a28b6e96f8e2dfe1afae0ded08216e12a03081b572c54b8af37d,True,IMSTL-006 trace packedbits
T1,200,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,84c78e044a0628b7db608d3ac0bcc39dc914433a1809d73b62ff5646401cc581,84c78e044a0628b7db608d3ac0bcc39dc914433a1809d73b62ff5646401cc581,True,IMSTL-006 trace packedbits
T1,400,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,de11f39c2442b0cd1e81aec471183ae2bf2aaa57e079ec73e885fc5097b826d0,de11f39c2442b0cd1e81aec471183ae2bf2aaa57e079ec73e885fc5097b826d0,True,IMSTL-006 trace packedbits
T1,600,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,f912e8a55c2b34d9192413d8bf38f2ef8ae82c280a49faa30bf7b64a0d823f92,f912e8a55c2b34d9192413d8bf38f2ef8ae82c280a49faa30bf7b64a0d823f92,True,IMSTL-006 trace packedbits
