analysis_bbox_extent_mm,analysis_uniform_scale,family,interior_gate_slice,model_id,normalization_mode,normalization_status,occupancy_gate_pass,p1000_area_fraction,p1000_mask_sha256,p1000_max_abs_winding,p1000_solid_pixels,p500_area_fraction,p500_mask_sha256,p500_max_abs_winding,p500_solid_pixels,p500_upsampled_vs_p1000_area_difference,p500_upsampled_vs_p1000_iou,resolution_gate_pass,run_id,segment_count,slice_gate_pass,slice_index,source_bbox_center_mm,source_bbox_extent_mm,source_geometry_sha256,source_triangle_count,z_active_triangle_count,z_mm
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.571,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,6,571000,0.5776,f7ab8d9cc1b0622a63d379a5a5d3b6ef1d09b561f8c848c1b2b5edeb1f2c6b96,7,144400,0.011426592797783934,0.9885734072022161,True,IMSTL-006-20260728-002,969,True,1,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,969,0.05
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.2274,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,1,227400,0.2348,290252f6ed957ca6483e25bf9383db44551f8b44022ee780fa4e09941333d4af,1,58700,0.03151618398637138,0.9684838160136287,True,IMSTL-006-20260728-002,2818,True,100,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,2818,5.0
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.2436,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,1,243600,0.2436,2ac9d5dc4cddfbe565c4dffb8ca3b6ead1e092ccb3c1288c9d33473637736145,1,60900,0.0,1.0,True,IMSTL-006-20260728-002,2622,True,200,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,2622,10.0
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.3876,bdea690ce1d428f6e042cfc0d623207d8b14c728dd9c4c4f624ea5c7faa4b4aa,1,387600,0.3956,e9cfe60bf5195e44590c537b1be1a245a6fa0c98c79f900e13243b3320de77a6,1,98900,0.020222446916076844,0.9797775530839231,True,IMSTL-006-20260728-002,518,True,400,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,1278,20.0
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.2436,17b419ee83bda47618cb0a2d7e2716f7ba374c90c64090b89e8bf6e26fedad5a,1,243600,0.2436,2ac9d5dc4cddfbe565c4dffb8ca3b6ead1e092ccb3c1288c9d33473637736145,1,60900,0.0,1.0,True,IMSTL-006-20260728-002,2618,True,600,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,2618,30.0
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.2274,3f5c6a8b5884a377ab3841e000273ac96a026259505aede1e043c9cae8b4c32e,1,227400,0.2348,290252f6ed957ca6483e25bf9383db44551f8b44022ee780fa4e09941333d4af,1,58700,0.03151618398637138,0.9684838160136287,True,IMSTL-006-20260728-002,2839,True,700,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,2839,35.0
"[40.0, 40.0, 40.0]",1.0,C,True,C1,uniform_bbox_to_expected,already_expected_size,True,0.571,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,5,571000,0.5776,f7ab8d9cc1b0622a63d379a5a5d3b6ef1d09b561f8c848c1b2b5edeb1f2c6b96,6,144400,0.011426592797783934,0.9885734072022161,True,IMSTL-006-20260728-002,1015,True,799,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,1015,39.95
"[40.0, 40.0, 40.0]",1.0,C,False,C1,uniform_bbox_to_expected,already_expected_size,True,0.571,3eed442fc5aae08efab3aef0b9fb0cd3837e765227dccb05364154111ea822d0,1,571000,0.5776,f7ab8d9cc1b0622a63d379a5a5d3b6ef1d09b561f8c848c1b2b5edeb1f2c6b96,1,144400,0.011426592797783934,0.9885734072022161,True,IMSTL-006-20260728-002,304,True,800,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d798f7b032de8eccfd771037e849b201c7604b833fc0ed8ce07e316529cc5729,52212,1015,39.99999999999999
"[40.0, 40.0, 40.0]",1.0,L,False,L1,uniform_bbox_to_expected,already_expected_size,True,0.0851,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,1,85100,0.0856,4c3235917be0fc66a5df648c5c2d6f35568d628e9f2eb26d842d14a8e77a1c68,1,21400,0.005841121495327103,0.9688581314878892,True,IMSTL-006-20260728-002,800,True,0,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,1900,5e-324
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.0907,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,1,90700,0.0904,ad30fbc8b91482f64b31bca0449f1351854bfa7d325dcefa81f86ff396d5890a,1,22600,0.0033076074972436605,0.9749182115594329,True,IMSTL-006-20260728-002,1900,True,1,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,1900,0.05
