bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v0.3-TECHNICAL,T9,T,LIT-X001::solid_chord_x_mean_mm,2.436428487004989,True,PRM082_existing
XREG-v0.3-TECHNICAL,B1,B,LIT-X001::solid_chord_x_population_std_mm,7.7887155389648814,True,PRM082_existing
XREG-v0.3-TECHNICAL,B2,B,LIT-X001::solid_chord_x_population_std_mm,6.2213003055924183,True,PRM082_existing
XREG-v0.3-TECHNICAL,B3,B,LIT-X001::solid_chord_x_population_std_mm,1.1130886454162725,True,PRM082_existing
XREG-v0.3-TECHNICAL,B4,B,LIT-X001::solid_chord_x_population_std_mm,0.89650062690579047,True,PRM082_existing
XREG-v0.3-TECHNICAL,B5,B,LIT-X001::solid_chord_x_population_std_mm,0.77675677622178185,True,PRM082_existing
XREG-v0.3-TECHNICAL,C1,C,LIT-X001::solid_chord_x_population_std_mm,2.131991967415181,True,PRM082_existing
XREG-v0.3-TECHNICAL,C10,C,LIT-X001::solid_chord_x_population_std_mm,4.6334909975653291,True,PRM082_existing
XREG-v0.3-TECHNICAL,C11,C,LIT-X001::solid_chord_x_population_std_mm,3.2060060363994061,True,PRM082_existing
XREG-v0.3-TECHNICAL,C12,C,LIT-X001::solid_chord_x_population_std_mm,2.9871459314425537,True,PRM082_existing
XREG-v0.3-TECHNICAL,C13,C,LIT-X001::solid_chord_x_population_std_mm,3.1920925578279125,True,PRM082_existing
XREG-v0.3-TECHNICAL,C14,C,LIT-X001::solid_chord_x_population_std_mm,2.8017971956495948,True,PRM082_existing
XREG-v0.3-TECHNICAL,C2,C,LIT-X001::solid_chord_x_population_std_mm,2.6032249103407112,True,PRM082_existing
XREG-v0.3-TECHNICAL,C3,C,LIT-X001::solid_chord_x_population_std_mm,3.4155964428845027,True,PRM082_existing
XREG-v0.3-TECHNICAL,C4,C,LIT-X001::solid_chord_x_population_std_mm,3.7928469982727737,True,PRM082_existing
XREG-v0.3-TECHNICAL,C5,C,LIT-X001::solid_chord_x_population_std_mm,3.4831506260145697,True,PRM082_existing
XREG-v0.3-TECHNICAL,C6,C,LIT-X001::solid_chord_x_population_std_mm,5.0691788993469373,True,PRM082_existing
XREG-v0.3-TECHNICAL,C7,C,LIT-X001::solid_chord_x_population_std_mm,1.7213995898716894,True,PRM082_existing
XREG-v0.3-TECHNICAL,C8,C,LIT-X001::solid_chord_x_population_std_mm,4.4897737741083237,True,PRM082_existing
