slice_index,z_mm,foreground_pixels,png_sha256
24,1.1999999999999997,230800,776f11bcd978d405cfbbb875378c1cde87c5f77da29c07ccae209cb16e53fe04
25,1.2499999999999998,234300,9808421411b27f4b2c52be5485a1f644c44380c16496f74ce75a27a86300a021
26,1.2999999999999998,243200,23fc8232eeb5c0de8545923b10ebb0e40b803e403efdcb47ef45b0e84c4611c2
27,1.3499999999999996,243600,5b7a9bc56ca708e7cfb9a9e4aa054929fc4605b54963f058afbd62097bdd46c8
28,1.3999999999999997,243600,ac0aef934c2f35700b025327412a0886b303c3806bde7ae557942a66205973ef
29,1.4499999999999997,243600,bedc0043798d15a1799945480f44ae36af350237c398ab53d772ea8a636d1856
30,1.4999999999999996,249200,8721b1ecea3e7284758ccf7347908b66ae1c314d9fdec0c9fc68ec4eec16cac1
31,1.5499999999999996,243600,36930b4499f9edad3ef47291bf278c0c8ecd80a005201232b257ae0491be0f06
32,1.5999999999999996,243600,2a457721dbc491935695a78f4a4dff63b867478f53e5b1c56c1d3634595a9071
33,1.6499999999999997,243600,1c07e878af089cd9bbbe395f1538c97355dda9b26258c02facbcfe7c96aea7c4
34,1.6999999999999997,249200,a205402c8f14b2602dbe9e59bec17722b2c5832119885db19dc8d998fd2f2bfe
35,1.7499999999999996,243600,f38866e7c5ea42d5471121c960eb79d8fcdc65194c1c9a9b5290fb3486b53c41
36,1.7999999999999996,243600,bee644b5d7b1a6fc72c0f334e77946071ad8c9923675c418c62b482de3c28619
37,1.8499999999999996,243600,ca4de7f8c3614056765b4fc90369f0b96fe04ff74e263562390b8373ee6ef056
38,1.8999999999999995,249200,1de56447df2e85994a925baf688ca5327fadd316c0513e96506f7f3c399efeeb
39,1.9499999999999995,243600,16ecb196fe5fdaed5377309a88a58eff7de5b05a74ebcc35aeaa8f670b7be380
40,1.9999999999999996,243600,e464d7729bb4727f3fd5893e4623f4b1d642247b1342a3f4641d834d69479a06
41,2.0499999999999994,243600,a102b7317f33f42f98624acf412c8eba97d0677c1f619f4e7230449323226539
42,2.0999999999999996,249200,93a6af911395f7552b178360e6927c0595e8f7e45df675c4e670fe5e915f9cef
43,2.1499999999999995,243600,76b9647af495abaec0fcecde226e10b44cf6492edc7ffb3f501f3452d926319a
44,2.1999999999999993,243600,1cca6363c01c09b402004b9231b78091694646e80824bb5cbdb82d013036eb5d
45,2.2499999999999996,243600,15878b0e614e831f242e70b84f749eb6d0f1bf2cb0673bcce57574b1f99ffced
46,2.2999999999999994,249200,92796982abdf6f982c627b348578d99025ce73a8a10e563ea8a94bb653f3669a
47,2.3499999999999996,243600,d82d2be0d5294a72f6a4db3833d0a0ba124af6ebb6270ae675b21f8617a56e67
48,2.3999999999999995,243600,e0cac5a65fa075b3dcbfc710a0503203c653a4e8c91cdaed28e35d4fa5c46b78
49,2.4499999999999993,243600,3a632689d083c4349731a46c7188c5735cadec9ac843c38806de282d1e9e712d
50,2.4999999999999996,249200,a884fbe8f789f4a56d174ffe093f7e4bd8c1d42b2712b88d92fe934cb556d66f
51,2.5499999999999994,243600,d33ab34c6c656e2c978663b3605a37c69d1a775d5b9e9976e85d3ec9071c2cea
52,2.5999999999999996,243600,f5ec0d50c879b563b7030d4f39619b9e138eef689ce1a9feb0945228c3c83385
53,2.6499999999999995,243600,7d4b17556fa56797dd528b1412ff28ad95e974736a4ec57aa151983d97951ee0
54,2.6999999999999993,248400,c29ebf9f72b080453f8d3d72fb56c1e8e36aaaa6ed5bced9d5c455c41b47717e
55,2.7499999999999996,241800,917657c6da756f5285c4fb8fc114724a9ba78cc34ea52aea864d70d6ce762f68
56,2.7999999999999994,240400,6469a48b090fd7c5395492c8e64b2300d13b2eda0bd310f2c4d64b07ac93349a
57,2.849999999999999,238580,1e6ea2045ef5ec04dae0aff2e9af8d9dcf504ae23d491dfc23ce092ea9102b7e
58,2.8999999999999995,239400,04d8ce5d0cc352f4aae6a835b3be04ad9d9526e9271ff40e570313fd0611960f
59,2.9499999999999993,230800,4f5dec0599e61a30ee990d9c6dc99a7d9a455246a5f4e9e0b98519b56ea33617
60,2.999999999999999,227400,abba2291546aba539550bc52bc24da9b0a9ed597cf2fff73ce33360e9a533e20
61,3.0499999999999994,223600,7c76e8537ab1cfae1217ce0bf1ddad81917d4880dee6c70e909d61cc5077a843
62,3.099999999999999,220400,77b02075b3d25e914d21230673d50a8af8f76b3b57af4d722cfa302fbb7d73d6
63,3.1499999999999995,209800,afa862731fe0454d9041a6ba1b8376e969876748dba41f226291d56b0d2c5efb
64,3.1999999999999993,204400,29147b54a08e97df72d2b2479fccbf06cd15966ed9fc2b7005fa72f234a92ded
65,3.249999999999999,198800,f8c8b1c80df4a6dce45340d74bed387ff886d26901c272646f543209ce828f9d
66,3.2999999999999994,193200,d5115c3d00b4c29f8ea0de11378f7031f6d65e3a96c643108354ea5ed5056a17
67,3.349999999999999,182000,9ea48920469fb45cb0cd230e250206a7904a75bfde5660e18ed2690beb52b4e2
68,3.3999999999999995,176400,9058c11f5feb7aa89ec1e89571e7e4f44ca4bb25fb10cc85a02416ebe90f7611
69,3.4499999999999993,424000,b8f658a2af3374ce74a1cffd38190ddfbe18b144a90f951afac76870e0e46eea
70,3.499999999999999,418800,60d55b89f1e88f296a35ba47fa08ed8d727a72186b643b01a35693d2bd746f3d
71,3.5499999999999994,409600,30563a1745352b723396701086ca6c637dfbcd6e80069d1bd4df75cb5c656f59
72,3.599999999999999,405597,7a6e37c8bafcbdf299e37c5bf5e6bae4b35cf05dcc03026f35b0160481bd51d6
73,3.649999999999999,402000,412698fcdd7b2843e607918e754873430efa179491fe8d4acfbb3d16b086b2cd
74,3.6999999999999993,398799,bd0ef8d544e29d53bc87273c7a8644f32f38cabdfc6d0ed520e6c53cb8d83011
75,3.749999999999999,393601,dc157149622538d2e346db68feb1eb094b38211ff157c0fa651caf57ec0295d8
76,3.799999999999999,391601,7e47e386b9d00f79308e9df1a955f1107f1b3442624cd88e0910c9cb91f8f09f
77,3.849999999999999,390001,d351e50df1a2f04dc4e3ffacf6a72e0cfa35b6499afb78eab77118a14695de77
78,3.899999999999999,388800,ed3d322fe6b31d749978fdbbc12c34e1011dc4ec1a046a72836a888dc98fb0ee
79,3.9499999999999993,387600,f89163d94651f0a56e03b87e70ba0699024bd06b82f0529449966ecd06a6b83e
80,3.999999999999999,387600,f89163d94651f0a56e03b87e70ba0699024bd06b82f0529449966ecd06a6b83e
81,4.049999999999999,387600,f89163d94651f0a56e03b87e70ba0699024bd06b82f0529449966ecd06a6b83e
82,4.099999999999999,388800,ed3d322fe6b31d749978fdbbc12c34e1011dc4ec1a046a72836a888dc98fb0ee
83,4.1499999999999995,390001,d351e50df1a2f04dc4e3ffacf6a72e0cfa35b6499afb78eab77118a14695de77
84,4.199999999999999,391601,7e47e386b9d00f79308e9df1a955f1107f1b3442624cd88e0910c9cb91f8f09f
85,4.249999999999999,393600,ff8f6d04bbfb0fe4b693b932f715443a89073895e5aece06d6dc776f4afd9f4b
86,4.299999999999999,398799,bd0ef8d544e29d53bc87273c7a8644f32f38cabdfc6d0ed520e6c53cb8d83011
87,4.349999999999999,402000,412698fcdd7b2843e607918e754873430efa179491fe8d4acfbb3d16b086b2cd
88,4.399999999999999,405597,7a6e37c8bafcbdf299e37c5bf5e6bae4b35cf05dcc03026f35b0160481bd51d6
89,4.449999999999999,409600,30563a1745352b723396701086ca6c637dfbcd6e80069d1bd4df75cb5c656f59
90,4.499999999999999,418800,60d55b89f1e88f296a35ba47fa08ed8d727a72186b643b01a35693d2bd746f3d
91,4.549999999999999,424000,b8f658a2af3374ce74a1cffd38190ddfbe18b144a90f951afac76870e0e46eea
92,4.599999999999999,176400,9058c11f5feb7aa89ec1e89571e7e4f44ca4bb25fb10cc85a02416ebe90f7611
93,4.649999999999999,182000,9ea48920469fb45cb0cd230e250206a7904a75bfde5660e18ed2690beb52b4e2
94,4.699999999999999,193200,d5115c3d00b4c29f8ea0de11378f7031f6d65e3a96c643108354ea5ed5056a17
95,4.749999999999999,198800,f8c8b1c80df4a6dce45340d74bed387ff886d26901c272646f543209ce828f9d
96,4.799999999999999,204400,29147b54a08e97df72d2b2479fccbf06cd15966ed9fc2b7005fa72f234a92ded
97,4.849999999999999,209800,afa862731fe0454d9041a6ba1b8376e969876748dba41f226291d56b0d2c5efb
98,4.899999999999999,220400,77b02075b3d25e914d21230673d50a8af8f76b3b57af4d722cfa302fbb7d73d6
99,4.949999999999999,223600,7c76e8537ab1cfae1217ce0bf1ddad81917d4880dee6c70e909d61cc5077a843
100,4.999999999999999,227400,abba2291546aba539550bc52bc24da9b0a9ed597cf2fff73ce33360e9a533e20
101,5.049999999999999,230800,4f5dec0599e61a30ee990d9c6dc99a7d9a455246a5f4e9e0b98519b56ea33617
102,5.099999999999999,239400,04d8ce5d0cc352f4aae6a835b3be04ad9d9526e9271ff40e570313fd0611960f
103,5.149999999999999,238580,573884f9496f61a9b775dec0d0a27353428d82f6339531472b5b77129c298bb8
104,5.199999999999999,240400,6469a48b090fd7c5395492c8e64b2300d13b2eda0bd310f2c4d64b07ac93349a
105,5.249999999999999,241800,917657c6da756f5285c4fb8fc114724a9ba78cc34ea52aea864d70d6ce762f68
106,5.299999999999999,248400,c29ebf9f72b080453f8d3d72fb56c1e8e36aaaa6ed5bced9d5c455c41b47717e
107,5.349999999999999,243600,7d4b17556fa56797dd528b1412ff28ad95e974736a4ec57aa151983d97951ee0
108,5.399999999999999,243600,f5ec0d50c879b563b7030d4f39619b9e138eef689ce1a9feb0945228c3c83385
109,5.449999999999998,243600,d33ab34c6c656e2c978663b3605a37c69d1a775d5b9e9976e85d3ec9071c2cea
110,5.499999999999999,249200,a884fbe8f789f4a56d174ffe093f7e4bd8c1d42b2712b88d92fe934cb556d66f
111,5.549999999999999,243600,3a632689d083c4349731a46c7188c5735cadec9ac843c38806de282d1e9e712d
112,5.599999999999999,243600,e0cac5a65fa075b3dcbfc710a0503203c653a4e8c91cdaed28e35d4fa5c46b78
113,5.649999999999999,243600,d82d2be0d5294a72f6a4db3833d0a0ba124af6ebb6270ae675b21f8617a56e67
114,5.699999999999998,249200,92796982abdf6f982c627b348578d99025ce73a8a10e563ea8a94bb653f3669a
115,5.749999999999999,243600,15878b0e614e831f242e70b84f749eb6d0f1bf2cb0673bcce57574b1f99ffced
116,5.799999999999999,243600,1cca6363c01c09b402004b9231b78091694646e80824bb5cbdb82d013036eb5d
117,5.849999999999999,243600,76b9647af495abaec0fcecde226e10b44cf6492edc7ffb3f501f3452d926319a
118,5.899999999999999,249200,93a6af911395f7552b178360e6927c0595e8f7e45df675c4e670fe5e915f9cef
119,5.949999999999998,243600,a102b7317f33f42f98624acf412c8eba97d0677c1f619f4e7230449323226539
120,5.999999999999998,243600,e464d7729bb4727f3fd5893e4623f4b1d642247b1342a3f4641d834d69479a06
121,6.049999999999999,243600,16ecb196fe5fdaed5377309a88a58eff7de5b05a74ebcc35aeaa8f670b7be380
122,6.099999999999999,249200,1de56447df2e85994a925baf688ca5327fadd316c0513e96506f7f3c399efeeb
123,6.149999999999999,243600,ca4de7f8c3614056765b4fc90369f0b96fe04ff74e263562390b8373ee6ef056
124,6.199999999999998,243600,bee644b5d7b1a6fc72c0f334e77946071ad8c9923675c418c62b482de3c28619
125,6.249999999999998,243600,f38866e7c5ea42d5471121c960eb79d8fcdc65194c1c9a9b5290fb3486b53c41
126,6.299999999999999,249200,a205402c8f14b2602dbe9e59bec17722b2c5832119885db19dc8d998fd2f2bfe
127,6.349999999999999,243600,1c07e878af089cd9bbbe395f1538c97355dda9b26258c02facbcfe7c96aea7c4
128,6.399999999999999,243600,2a457721dbc491935695a78f4a4dff63b867478f53e5b1c56c1d3634595a9071
129,6.449999999999998,243600,36930b4499f9edad3ef47291bf278c0c8ecd80a005201232b257ae0491be0f06
130,6.499999999999998,249200,8721b1ecea3e7284758ccf7347908b66ae1c314d9fdec0c9fc68ec4eec16cac1
131,6.549999999999999,243600,bedc0043798d15a1799945480f44ae36af350237c398ab53d772ea8a636d1856
132,6.599999999999999,243600,ac0aef934c2f35700b025327412a0886b303c3806bde7ae557942a66205973ef
133,6.649999999999999,243600,5b7a9bc56ca708e7cfb9a9e4aa054929fc4605b54963f058afbd62097bdd46c8
134,6.699999999999998,243200,23fc8232eeb5c0de8545923b10ebb0e40b803e403efdcb47ef45b0e84c4611c2
135,6.749999999999998,234300,9808421411b27f4b2c52be5485a1f644c44380c16496f74ce75a27a86300a021
136,6.799999999999999,230800,776f11bcd978d405cfbbb875378c1cde87c5f77da29c07ccae209cb16e53fe04
137,6.849999999999999,227100,6809b7fa75ca075da522c5a297ba4396ad39568821b521f0956e92ca1b47ebc4
138,6.899999999999999,224700,ac8f0b9e31d47c67b676492fe53b8f135dd02c8a280901fc431a56e8e0592887
139,6.949999999999998,214800,56243ad78514be2d2f8f317a46c5930f578987daf451151bd837a0b3309e980c
140,6.999999999999998,210300,17eb8c75c627961021cd2bf69764a973e5b9b2a2ddb5d001af32375bbc05a29a
141,7.049999999999998,205600,37762b9c48eb58fca5745a2306fec1a2cb7cbeaae28617966cf2faef10bc178a
142,7.099999999999999,201200,4a6791dcd134ff9741b600630097206d5295e7e7863e022a42315f8ccc4f8e5b
143,7.149999999999999,190300,0335b6267b4e38f5674cff991294bb07d416da41b917ea8f2b234076db20a026
144,7.199999999999998,184800,e9d5679d2de0b51a76dc44aa682adfb25b816fe052a8794ff3fe913df94b6e4d
145,7.249999999999998,179200,810c75b091a7c8fa6091f2274c135cc6e43198b803a3a441a18c438ea9ceae3f
146,7.299999999999998,173600,1dc10175eb4ea4dde02c11e5582e3e8def4e4f0b290f2cabce354a713ba363cc
147,7.349999999999999,162400,e817803c6a31daef4dd3a9a1773548e064e6777609a21bb32ac776c61b7eea86
148,7.399999999999999,156800,ff234a5fc7ce735e550d4e7e2f33299a238dd2b2368dfa67e61f74bda8d099c6
149,7.449999999999998,589200,75c20de445f30d4769217df0d63fde789849f39c66f996d8d1d78196ccfdcee3
150,7.499999999999998,586600,bcb53af98751810c27a560cad464618f4800c9fd20aeed416c1f378428c85ce1
151,7.549999999999998,582000,327debeb699fee9374f4c726ceb0e1073d9854f3355a0ace72d275f28653311e
152,7.599999999999998,580000,743cb079060e6279f0cc4c96106abcb403e012ea40fdd0901ee08cd8e479be20
153,7.649999999999999,578200,4db64431d7019024ede986e69d1e05588d701c8cc6283808e343c79c3bd7027e
154,7.699999999999998,576600,da6028fa5ec997720135f8d58514075e621da213426e7b109d01d8de7cae6e3e
155,7.749999999999998,574000,1668f86667534b8f44cd6b514b4dfe0c5e442e1b08386c0f33186516ad9bfa99
156,7.799999999999998,573000,dcbd70d106f48f5606ab88872133cdadc059f5d92e78d061166a35913b182bca
157,7.849999999999998,572200,684f2363e7c8c73563cb5880b2dcad05319178d31e5e68a6225e8c3a3df2c3f4
158,7.899999999999999,571600,5038a198c4b4c7d59cdcd6889abec03853d35b71cd58c3d25782d1b9a73c97c6
159,7.949999999999998,571000,7ff9e3b82f2ae1e49bf4e7389fba85da64c57fde430ca00197a7cf72bae4d2ed
160,7.999999999999998,571000,7ff9e3b82f2ae1e49bf4e7389fba85da64c57fde430ca00197a7cf72bae4d2ed
161,8.049999999999999,571000,7ff9e3b82f2ae1e49bf4e7389fba85da64c57fde430ca00197a7cf72bae4d2ed
162,8.099999999999998,571600,5038a198c4b4c7d59cdcd6889abec03853d35b71cd58c3d25782d1b9a73c97c6
163,8.149999999999999,572200,684f2363e7c8c73563cb5880b2dcad05319178d31e5e68a6225e8c3a3df2c3f4
