model_id,model_numeric_id,raw_sample_id,analysis_group_id,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm,meta__Weight,meta__VF,meta__Height,y__Modulus,y__Com. Strength,y__Com. strain,y__APS,y__AS,y__Yield strength,y__Yield strain,y__LCC,y__EAS,y__Densif. strength,y__Densifi. strain,y__EAE,y__SE,y__Total energy,y__SEA,y__Max. Plateau stress,"y__UCS 이후의 피크값(UCS 제외), 파단일 경우 APS 값으로 설정"
AI109,109,CP_Lattice_109.csv,AI-LATTICE-109,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.601181290006799,2091,8225,7.867049258727882,5.113217682522844,7.867049258727882,5.113217682522844,3.326140980296335,1.129722380105844,28.82942229341207,19.49563351723428,3.080210732832752,0.6142228776975056,28.28708014039508,9.024940840911421,3.826830825076028,1.299781474560988,3.543880265437282,0.7066829264796535,38.10678766490165,20.62893981322478,38.47163815419669,7.511275807688233,28.57705785463632,24.23850596320959,30.03156889547184,9.69321072262913,1,1958,27357.50956293856,0.4345816593852505,0,0.869163318770501,74701.24189384731,4.602127026780551,16231.89483018357,30,30,30,0.04605763534995366,-0.0927634690877033,-0.2433842335167078,12.4076,0.4897099460395047,29.87,107.11,13.48417238967135,0.714712844910163,4.653627973028589,4.413858615424441,5.785737774467766,0.055991720035707,0.1945766851437476,0.3700702400639758,3.301273906608078,0.390173172998546,32.73362641674164,0.3451178046784089,1.722169221147123,2.900077905770833,4.653627973028589,
AI110,110,CP_Lattice_110.csv,AI-LATTICE-110,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.5999614116104253,2016,8600,8.531746031746032,4.946260499610696,8.531746031746032,4.946260499610696,3.356585940734824,1.187950957244905,34.64006482514743,24.08417163129274,3.138429887882876,0.7470481566702589,33.86664013804995,6.669564532902488,3.970976179079304,1.405393765100874,3.712888793714339,0.8837880176883757,31.05626330602071,24.19814706866817,31.7500898218623,7.804870166810209,28.08948375209638,26.60520337672398,29.52195121356013,9.467016688802824,1,2558,28866.63909031961,0.4226398987758559,0,0.8452797975517118,76656.07606097069,4.732160891086825,16198.95811348148,30,30,30,-0.1229857341767763,-0.07389095437894933,-0.01770084455121769,13.3148,0.5230642221185452,30.01,178.09,18.09847866926211,0.7591322490092638,6.063235982129851,5.820186355353494,7.81718327498645,0.04583668086531176,0.3036707109564277,0.3632243320750982,3.717410524789752,0.3783924955937356,32.1584286818445,0.3350135717444286,2.202314839822817,3.472139426226672,6.063235982129851,
AI111,111,CP_Lattice_111.csv,AI-LATTICE-111,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6001169033965192,2441,9400,7.701761573125768,5.918672952490208,7.701761573125768,5.918672952490208,3.230344848524686,1.185930585841754,36.11359787425481,21.68692916441612,2.988838017447138,0.5398187971709582,36.21041981394515,6.53206697914102,3.919064273441846,1.438774622429869,3.626067445595297,0.6549098196408504,28.61662723241438,18.80074086561442,29.8158730599498,6.548502100404662,32.96860197333984,21.28056009589809,32.7313179591852,8.19707417081013,1,2083,30365.2415761331,0.4121321600178421,0,0.8242643200356842,78630.87603260347,4.852812262730032,16203.15639170602,30,30,30,0.1217743700096528,0.1025915952048823,0.01452805430675248,15.3373,0.6043293495452878,29.92,165.64,16.23470896869932,0.7100140321070465,6.145541326608467,5.796742315087522,7.391113256418036,0.04657820323004118,0.4124941992982243,0.291441449985436,2.996894181084925,0.308977935850362,35.70585913343873,0.3785433627702925,1.791065475172192,2.444052564475725,6.145541326608467,
AI112,112,CP_Lattice_112.csv,AI-LATTICE-112,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6007349207297007,1816,7725,8.507709251101321,6.195612598107771,8.507709251101321,6.195612598107771,3.530239094772457,1.278241666982651,32.55917163980692,18.52793605114051,3.296014873253789,0.5039096820065492,34.26869488922461,8.299216378653197,4.05673878046633,1.468878566592012,3.787582370021966,0.5790627473010255,30.86062068745005,20.98637816615241,29.43458813575623,9.970636867129148,33.624700663054,21.95492410388068,34.17210692111123,7.220830917891479,1,2283,27271.09700711799,0.4351080123486099,0,0.8702160246972198,74555.477717595,4.596559804092032,16219.84285970192,30,30,30,0.04618309829349253,-0.03572464531971567,0.07703822534897478,13.3094,0.5274215498505501,29.75,154.37,28.73097115130615,0.7888783799735487,4.96327763906595,4.888205664831517,8.146551212941844,0.05476073291472516,0.1933041956405024,0.5460717633484824,4.657880716786765,0.5544582119063218,17.01371540519365,0.1727500825825831,2.710305772352836,4.23772905022039,4.96327763906595,
AI113,113,CP_Lattice_113.csv,AI-LATTICE-113,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6009089094405535,2266,9200,8.120035304501323,4.154698948679847,8.120035304501323,4.154698948679847,3.162034447857438,1.445400883495676,34.45194563691901,21.58797933808593,2.921094147695114,0.6799495823629834,33.50449622182305,6.752222678160559,3.752343137173242,1.715237507714106,3.466422570306818,0.8068868923083233,31.63204875408951,24.53408298352409,31.48272677322243,8.357337950028555,29.16336356629722,21.63119733999524,30.81850388588253,7.82833240509287,1,2408,29090.716920289,0.4213413235762199,0,0.8426826471524398,77013.76364979288,4.746745424884024,16224.54055489495,30,30,30,0.001177772715317637,0.0867902838286301,-0.190083030358284,13.9121,0.5498266681041352,29.83,132.11,16.34858658253809,0.6934579077971006,5.125424341594759,4.952509486624335,6.527309599703095,0.05138616793789852,0.1813309313375245,0.5025945685567622,4.284178436956831,0.5201424535564034,30.29319667251299,0.3135087131672422,2.576010435634145,3.863621584933706,5.125424341594759,
AI114,114,CP_Lattice_114.csv,AI-LATTICE-114,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.600736600595598,2516,9625,7.651033386327504,4.007131183694663,7.651033386327504,4.007131183694663,3.15757079502708,1.420648470300165,33.7440295069397,23.31743192251507,2.956450942657954,0.6084414404136019,33.42238117773609,11.60724665639113,3.830460834642225,1.723393924801138,3.586481596304242,0.7381025664881776,29.85043076711348,18.90071092583814,31.46378246748997,9.499202559624745,32.93816057951561,19.6238923384372,31.93015578683809,8.13653771042625,1,2083,30391.61890213652,0.4121659157131162,0,0.8243318314262325,78705.62604876251,4.852414825567671,16219.88821608115,30,30,30,0.1699787680010515,0.1719158072211873,-0.007228261353228324,13.2177,0.5259089989639493,29.63,193.78,18.94497594253243,0.7608181595130333,5.379749787872314,5.237332197951419,8.093922475280669,0.04374087297911496,0.2659664186814585,0.3512662556692185,3.441660065839783,0.3608181595130333,27.64496621076906,0.2839670952442068,1.88972456442318,2.96319800352528,5.379749787872314,
AI115,115,CP_Lattice_115.csv,AI-LATTICE-115,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6007193895727584,2241,8975,8.009817045961624,5.063603672683405,8.009817045961624,5.063603672683405,3.194968763912549,1.182858827107445,31.00383310413578,24.68408776002479,2.943684949852917,0.6139776314606445,30.94429888502741,6.796647604602329,3.764821474769422,1.393832817464306,3.468718830474661,0.7234863132497186,31.6874257045062,26.00444875383097,32.75950132264305,8.151697086714963,31.38808067754758,24.67626426066439,31.75996862773675,11.31232399629605,1,2258,28674.84465611542,0.4243187605739295,0,0.848637521147859,76449.24064411501,4.713437598881603,16219.42351846448,30,30,30,-0.04915708950984865,-0.2245932439663273,0.08335573999273183,12.9828,0.5113850330211132,29.93,120.46,13.0560462969025,0.7014926947156022,4.383385657142623,4.248711022334128,5.82731172712473,0.05037341639953137,0.205270437501641,0.4972576361336393,3.839246764291349,0.513019590806481,32.54209525392169,0.3357360687501978,2.17967199013284,3.514923653602838,4.383385657142623,
AI116,116,CP_Lattice_116.csv,AI-LATTICE-116,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6005637594304426,2141,9025,8.43063988790285,5.970525346073757,8.43063988790285,5.970525346073757,3.329409099967125,1.449139253021895,29.55301811453147,21.47692146734964,3.070834519086022,0.5971504412656782,29.13598560825472,10.29495159065591,4.016593179685403,1.748239001377036,3.704649268071385,0.720401223645822,32.47760202625033,24.26897464361566,33.01801962534319,10.06888138553094,33.5652015420754,22.96019681737126,34.02776702071998,4.63874954823102,1,2608,30047.91712720461,0.4144568482571465,0,0.828913696514293,78248.05681367987,4.825592841354417,16215.22150462195,30,30,30,-0.0440646420626618,-0.1188670794886451,0.03028361559637964,13.4616,0.5341711063554753,29.71,87.865,21.99669705118928,0.7592860459404224,4.79060400253171,4.567417066627555,5.578736784046304,0.06537827078054365,0.167298985325109,0.5398404240479112,4.717589495233787,0.5662197382998974,20.76410406525379,0.2177874246930495,2.586161696172339,3.992528712796393,4.79060400253171,
AI117,117,CP_Lattice_117.csv,AI-LATTICE-117,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.5991420067674568,2066,8545,8.272023233301065,5.517444180697371,8.272023233301065,5.517444180697371,3.357478933383289,1.266468268711398,32.2176080632632,22.35008955404074,3.106229525213398,0.6645478508717717,33.00194615847131,6.637830971679641,3.962544494140774,1.494703902767108,3.666016361350232,0.7843088459564748,33.26720138535075,23.44360866653143,34.31099851960884,8.807949954350628,31.43648134225979,22.59673814760481,30.53946541782108,7.854782652934793,1,2353,28689.65748576045,0.4236518906409547,0,0.8473037812819094,76368.52113770554,4.720857015353205,16176.83418272133,30,30,30,0.1719832621665691,-0.0813002697702703,0.00006249634029208075,14.3705,0.5688968757809323,29.78,120.63,15.47439212291135,0.7205971142829594,4.925497871794727,4.753374144308329,6.574126452823374,0.05649368916543073,0.2000358602280478,0.4885347914811551,4.968680242419092,0.5062250524965254,30.71767928945328,0.3182999262699338,2.40627707573811,3.488067261534705,4.925497871794727,
AI118,118,CP_Lattice_118.csv,AI-LATTICE-118,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6000031635019273,1716,6950,8.1002331002331,4.482864030558821,8.1002331002331,4.482864030558821,3.574774739611399,1.407473916188873,33.86884084813828,24.54331138890784,3.379327490651122,0.6033777449604849,36.66461912922381,9.223408859619466,3.92330174504813,1.544697295274556,3.708799129145103,0.6622047911147569,34.37424473380812,21.91626812374195,33.17811944717541,6.127853325228332,27.786281867149,19.13647808398047,26.7460068906165,8.172173177258639,1,1808,24844.68444029976,0.4555824369261642,0,0.9111648738523284,71118.12967968988,4.38998485870986,16200.08541455204,30,30,30,-0.02173110154194095,-0.3965132404104536,0.1187046270150787,12.8394,0.5110295786965966,29.62,214.64,16.82877148116295,0.7420770273650222,5.462764397822419,5.397081286276612,8.981867569597432,0.04383259792545434,0.2568962025309566,0.5294218821292617,4.233283988866183,0.5358650084588777,32.07056018508398,0.3246086265974369,2.892107009123868,4.66703530277224,5.462764397822419,
AI119,119,CP_Lattice_119.csv,AI-LATTICE-119,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.5998901748604848,1741,7675,8.816771970132107,4.645635095000848,8.816771970132107,4.645635095000848,3.518583976089055,1.363915396606317,28.76323394916233,27.20505183513815,3.226265122508505,0.8019714797107488,28.34269937713874,6.549805830801014,4.026412419689576,1.560765901743683,3.69190391554002,0.9177180218200532,31.37901533430767,26.0888203226544,29.67113883670223,6.738290013946746,31.91873852594868,26.84608768399302,35.11114283622648,7.932316332390965,1,2458,27005.13201648412,0.4369378505394546,0,0.8738757010789092,74138.84927220574,4.57731001681532,16197.03472123309,30,30,30,-0.03756427190726454,-0.3149657179801905,0.09454213230460992,12.4429,0.5006570702561356,29.3,131.77,17.70340190901301,0.7571421727676785,5.010127337053742,4.855980107154299,8.089369431910798,0.06338790655607446,0.4135025031747829,0.3402988409899463,2.7630356495827,0.3511012171362792,27.4296439300859,0.2830036488355962,1.704940526011434,2.808288014540417,5.010127337053742,
AI120,120,CP_Lattice_120.csv,AI-LATTICE-120,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.6003335489240418,1941,7750,7.985574446161772,5.64662092570454,7.985574446161772,5.64662092570454,3.557121887775379,1.470703715896103,32.12640809924107,24.08648661462131,3.310673997412254,0.6654019829771738,34.02539218043493,9.922163917685442,4.111172722771611,1.699777851540608,3.826338557283079,0.7690437855096182,34.90904598086937,19.79557679514986,34.44513880645217,5.472182288249113,29.01115478248833,19.78087649077606,28.14532690758285,7.554646587979478,1,1933,27567.69463025975,0.4326164488386285,0,0.865232897677257,74934.76433668983,4.623032724181105,16209.00582094913,30,30,30,-0.1514116532878325,-0.00685624092887608,-0.05526522277801042,13.9118,0.5525935253333907,29.68,180.54,20.81698899094618,0.7651099026808985,5.875180224971015,5.743472302600384,8.215803826620894,0.04742122343561553,0.1852741658505893,0.5732908288478286,5.314334193284145,0.5864373959423541,27.59031243710779,0.2822300683122941,3.368186940804005,5.0264707742428,5.875180224971015,
AI121,121,CP_Lattice_121.csv,AI-LATTICE-121,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.6,0.5996283111354762,2241,8720,7.782240071396698,4.571248127604288,7.782240071396698,4.571248127604288,3.320590332899978,1.289453110342455,32.16925152255258,21.95242350987312,3.154243595534969,0.5523884959920272,33.87983720244684,8.610901023827589,3.93552961734457,1.528246605927424,3.738377169732372,0.6546851819442818,30.9538035942476,23.13738502333795,32.16558968628183,8.640900118410816,31.86623333798958,24.17495772736067,29.72160429371875,7.031798159436988,1,2003,28955.54770288934,0.4218733761099845,0,0.843746752219969,76752.71926350266,4.740758988968742,16189.96440065786,30,30,30,0.05940846108019977,-0.430684035725297,0.1864578067857538,12.532,0.4947854796029949,29.86,110.2,12.90121395327765,0.7306142972461498,3.596816828123029,3.482635869686091,5.766808952483379,0.05429145732652498,0.319310346933238,0.2869466461374878,2.223185694298499,0.2963544178087755,26.99463695663539,0.2787967737880379,1.03209452560078,1.720185547935073,3.596816828123029,
