model_id,structural_excel_row,Type,Source,Target VF,Actual VF,Node 개수,Strut 개수,Global: Strut No. at Nodes-AVG,Global: Strut No. at Nodes-STDEV,Node: Strut count - AVG,Node: Strut count - STDEV,Global: Length - AVG,Global: Length - STDEV,Global: Angle-Z (weighted with length)-AVG,Global: Angle-Z (weighted with length)-STDEV,Node: Length - AVG,Node: Length - STDEV,Node: Angle-Z (weighted with length)-AVG,Node: Angle-Z (weighted with length)-STDEV,Global: l/d AVG,Global: l/d STDEV,Node: l/d AVG,Node: l/d STDEV,Global: Angle-X (weighted with length)-AVG,Global: Angle-X (weighted with length)-STDEV,Node: Angle-X (weighted with length)-AVG,Node: Angle-X (weighted with length)-STDEV,Global: Angle-Y (weighted with length)-AVG,Global: Angle-Y (weighted with length)-STDEV,Node: Angle-Y (weighted with length)-AVG,Node: Angle-Y (weighted with length)-STDEV,connected_components,maxwell_index_M_3D,total_strut_length_mm,mean_radius_mm,std_radius_mm,mean_diameter_mm,surface_area_mm2,surface_to_solid_volume_1_per_mm,solid_volume_mm3_approx,bbox_x_mm,bbox_y_mm,bbox_z_mm,mass_center_x_mm,mass_center_y_mm,mass_center_z_mm
AI043,44,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3000522169544184,1991,8100,8.136614766449021,4.763071977735417,8.136614766449021,4.763071977735417,3.38491900666364,1.237161199227692,32.44277195347854,23.55538862809994,3.183710558518384,0.6108858321429658,32.79592652771535,7.044291271426053,5.518608306432011,2.017007809348677,5.190567779886837,0.9959587277890819,30.26189710848497,22.28219463024815,30.81342677984545,6.27937874171715,31.3793897765774,23.49889990316859,31.15927192591557,9.42926307191961,1,2133,27417.84395397637,0.3066823027391229,0,0.6133646054782458,52832.58789575937,6.521406622218061,8101.409857769297,30,30,30,-0.03391522990648181,0.1724406164630012,0.1288214282893576
AI044,45,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.299695835724004,1841,7775,8.446496469310157,4.926689729016124,8.446496469310157,4.926689729016124,3.386227920764909,1.373897347412292,32.9548071403814,23.91958695295919,3.097947840707463,0.7289351147919271,32.74941292898636,8.707069800533338,5.413114115728417,2.196267734736345,4.952278930632613,1.165252030182004,34.71844926107084,24.90568099130444,33.71939733452701,5.937354780303488,26.88644096422373,25.45047399172976,29.86188057002227,11.94746996457685,1,2258,26327.92208394714,0.3127800235104816,0,0.6255600470209632,51741.07651588526,6.394270252789906,8091.78756454811,30,30,30,0.0799818466328559,-0.1270160217883473,-0.03788152382366918
AI045,46,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.299733102968517,2366,9525,8.05156382079459,4.917230748090152,8.05156382079459,4.917230748090152,3.205493705437201,1.42016165223652,31.40932623605471,18.83479347576989,2.978369285559608,0.5927359384326992,31.60249418802429,9.606768802532821,5.517858872131989,2.444631714410467,5.126892421886385,1.020321222644942,30.76117949764135,20.71667846203961,31.81796509154951,8.55783809396543,34.7702896242333,19.56107571896472,34.18675301212556,9.170225398501241,1,2433,30532.32754429062,0.2904653580056736,0,0.5809307160113472,55722.95323418143,6.885502676573689,8092.793780149957,30,30,30,0.02331075789049669,0.04302623902879454,-0.04284752686731912
AI046,47,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3003389722349104,2091,9125,8.727881396461024,5.669534318175482,8.727881396461024,5.669534318175482,3.325848123751617,1.204735018364487,32.56895582098021,23.49200673966162,3.083038474383905,0.563305089794417,34.43299074562223,6.487935302372681,5.702000744501198,2.065458107537442,5.28571570984212,0.9657584838137235,35.46097998839938,22.2620138822234,35.50546432223219,4.731108328019878,28.24678555762427,22.28834027473253,27.822551930657,6.757356988080048,1,2858,30348.3641292343,0.2916386960277885,0,0.583277392055577,55610.94848380414,6.857800515640188,8109.152250342581,30,30,30,0.1419468811820772,0.05607595289518136,0.1630641668016904
AI047,48,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3000516569680752,1891,7850,8.302485457429931,4.075152369556979,8.302485457429931,4.075152369556979,3.268298374499261,1.165858872526225,27.86619879126301,26.03093535634248,3.091232702088762,0.5853177629132593,29.78668728735872,8.708530851271401,5.154451044738035,1.838682334023621,4.875199815026375,0.9231078098902813,32.97471278061904,25.51348870258196,32.08330707757716,6.015062368311543,32.70929548447791,26.82459753529325,32.41141824852893,5.776847599930456,1,2183,25656.14223982039,0.3170365133097666,0,0.6340730266195332,51107.01384873236,6.308421636109346,8101.39473813803,30,30,30,-0.009914982227969089,-0.1834477163401478,0.1947795718971509
AI048,49,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3000289573584526,1866,7900,8.467309753483386,5.650239307606701,8.467309753483386,5.650239307606701,3.403510136771868,1.359853273784924,32.22684871829483,24.28134400944169,3.157981589269605,0.5978634158714613,30.05985106054959,9.457104190170883,5.495226408719787,2.19558670954176,5.098801863438791,0.9652960325308091,30.5100906986895,22.67188770223238,31.86371884850429,8.45686930533066,32.20525471230537,24.29585755627297,33.96523270367516,5.110006179534922,1,2308,26887.73008049883,0.309678790610993,0,0.619357581221986,52317.31777752982,6.458304735865252,8100.78184867822,30,30,30,0.08731304192699622,0.09962587479008733,0.1440296344180203
AI049,50,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2992333458129027,2191,8725,7.964399817434961,5.341199529467984,7.964399817434961,5.341199529467984,3.389179982534378,1.507591221207603,31.69622535376052,20.83362840354389,3.105155781119562,0.6781123150607312,30.52427344370987,7.467496203125509,5.746226374172055,2.556063850670849,5.264674091471349,1.149713762483347,32.82374493009174,20.23825912590763,34.26216393014917,6.34218965336674,33.37914106244064,21.25992489789546,33.47607596354259,7.892592302980078,1,2158,29570.59534761316,0.2949048437917404,0,0.5898096875834808,54792.59162425907,6.781848593210579,8079.300336948372,30,30,30,0.2578469838113656,0.1823305602958352,-0.09955215484739348
AI050,51,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.300009203300901,2491,9975,8.008831794460056,4.693574420799471,8.008831794460056,4.693574420799471,3.194740689476541,1.105724503004463,31.29535975955825,22.66012844418857,2.999260037129262,0.5681373794720511,30.89388047104962,8.02361242474739,5.615722533572247,1.943645075138338,5.272106193166264,0.9986731926554729,30.90235079247266,22.21991906154429,30.65976765528354,7.32656524411254,33.73724074416696,23.04744416606288,35.37998022313404,8.933937487245837,1,2508,31867.538377529,0.284446094903866,0,0.568892189807732,56954.54171632737,7.03120920213701,8100.248489124327,30,30,30,-0.1525188837784077,0.08147052673634476,-0.00170454766387624
AI051,52,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4499264458190857,1866,7675,8.22615219721329,5.138435505989118,8.22615219721329,5.138435505989118,3.500465321833259,1.388384881034144,37.48805213469351,21.76273172011832,3.274677806706332,0.5950833880236696,36.35512829609521,7.601668661182272,4.61338989021647,1.829802664789095,4.315816355313363,0.7842819264686701,29.27712035055527,20.20964378985981,30.07377797717547,7.703668142644664,28.8309231796071,24.12952197782509,30.07765396329452,6.772771695938834,1,2083,26866.07134507092,0.3793810413961143,0,0.7587620827922286,64041.22879947229,5.27174471512873,12148.01403711531,30,30,30,-0.06017626015463066,0.1513415293649442,-0.001226263915406807
AI052,53,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4506335196643511,1941,7950,8.191653786707883,5.227736534475413,8.191653786707883,5.227736534475413,3.358449565348561,1.439942990924587,32.6679929841121,24.04651744871111,3.02148300509892,0.7431812164875502,33.19814161540307,6.636365384366661,4.409030698250003,1.890382072793616,3.966655167661924,0.9756611597400342,29.31605577473129,24.19334074529636,31.62809105574107,8.684998566146163,33.31227241747742,22.06789600149022,31.88429578649692,7.289103266733405,1,2133,26699.67404452137,0.3808603064026713,0,0.7617206128053426,63892.744013463,5.251269209150571,12167.10503093748,30,30,30,-0.002944038917716075,-0.03344251125287028,0.1055820695517242
AI053,54,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4498472941401234,2141,9025,8.43063988790285,4.51782296133639,8.43063988790285,4.51782296133639,3.258923556302348,1.043132340439719,29.38110614323743,26.00682726005939,3.105175987669792,0.4525203278628609,30.04143345423718,8.473126654690413,4.494334244188782,1.438568692350166,4.282303200585513,0.6240642256773777,33.63216678195954,22.01526167484467,33.72790967288564,5.157454801617361,31.1978711215752,21.98636792738812,31.40706015561056,6.885977241015392,1,2608,29411.78509562892,0.362559099884056,0,0.725118199768112,67000.81143001239,5.516342027105613,12145.87694178333,30,30,30,0.05999152763153918,-0.04741368844243246,-0.08227813163285361
AI054,55,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4501930030529452,2191,8970,8.188041989958922,5.536369031672026,8.188041989958922,5.536369031672026,3.264230651750418,1.518784169728938,32.13848696873634,22.94462242713231,2.913092620147426,0.7119197929232165,32.98944190866857,7.639396661115465,4.489843130427253,2.089038244709345,4.006864184629098,0.9792225282724575,31.09355524462122,21.92002892647043,31.5058349951163,6.131709697393023,33.42176566404274,22.2398567188224,33.2295732971039,5.807380793109204,1,2403,29280.14894620143,0.3635127728215077,0,0.7270255456430154,66876.39054926955,5.501869946622321,12155.21108242952,30,30,30,-0.1194683852475846,0.034099089616288,0.03266682440566903
AI055,56,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4503426222463172,1991,8500,8.538422903063788,4.947300702927176,8.538422903063788,4.947300702927176,3.355143586072813,1.153762594665451,31.39412215295139,22.84028782160429,3.142933031603664,0.613740410968988,32.50102614386846,7.216824625147599,4.553734034872697,1.565932384324811,4.265713448076744,0.8329928440641065,31.07227823418959,20.55159237201508,31.16129126538908,6.848738627711906,33.63960403105725,21.85659757126012,33.42957929379951,7.043341737697195,1,2533,28518.72048161899,0.3683947679397802,0,0.7367895358795604,66012.0710652339,5.428958753092092,12159.25080065056,30,30,30,0.09091478210099703,0.0807697649926288,0.1923853149127073
