model_id,model_numeric_id,raw_sample_id,geometry_group,source_asset_alias,source_path,source_sheet,source_excel_row,structural_excel_row,join_key,join_status,replicate_id,direction,analysis_group_id
AI029,29,CP_Lattice_29.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,30,30,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-029
AI030,30,CP_Lattice_30.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,31,31,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-030
AI031,31,CP_Lattice_31.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,32,32,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-031
AI032,32,CP_Lattice_32.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,33,33,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-032
AI033,33,CP_Lattice_33.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,34,34,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-033
AI034,34,CP_Lattice_34.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,35,35,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-034
AI035,35,CP_Lattice_35.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,36,36,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-035
AI036,36,CP_Lattice_36.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,37,37,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-036
AI037,37,CP_Lattice_37.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,38,38,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-037
AI038,38,CP_Lattice_38.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,39,39,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-038
AI039,39,CP_Lattice_39.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,40,40,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-039
AI040,40,CP_Lattice_40.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,41,41,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-040
