model_key,structural_model_id,raw_model_id,source_group,family_group,vf_group,weight,measured_vf,height,performance_source_file,performance_sheet,source_block_index,structural_excel_row,crosswalk_status,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm,y__Modulus,y__Com. Strength,y__Com. strain,y__APS,y__AS,y__Yield strength,y__Yield strain,y__LCC,y__EAS,y__Densif. strength,y__Densifi. strain,y__EAE,y__SE,y__Total energy,y__SEA,y__Max. Plateau stress
VF30_C14,VF30_C14. SC8+FCC+BCC,C14,bcl,C,30,11.9208,0.3633680030283794,30.06,New_VF30.xlsx,VF30,19,206,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4749175572444034,1331,8430,12.6671675432006,5.902054900316013,12.6671675432006,5.902054900316013,3.820662756080654,0.7712181777321188,34.80107097166095,27.49541757304076,3.655301962978384,0.3852872814382757,34.83987515172068,5.483992517658941,5.366310411196864,1.083214196249457,5.134052972558449,0.5411551036252489,28.87342187051017,29.43966420029827,28.2994075869152,6.301502641635454,28.87342187051017,29.4396642002983,28.2994075869152,6.301502641635454,1,4443,32208.18703376242,0.355986,0,0.711972,72040.88950463722,5.618198468479098,12822.77404559889,30,30,30,6.375108774214766e-17,3.317658647805644e-17,3.410900034639397e-16,282.91,23.086482075951274,0.783866401871106,8.058418758660236,7.932029571726449,11.803155074592306,0.04368010779259638,0.15778987809665485,0.6606974458998679,6.0850462690255664,0.6712250179722371,34.35789630326175,0.34905356009413535,5.324176691838402,12.083104843718216,8.058418758660236
VF30_C2,VF30_C2. SC2+FCC,C2,bcl,C,30,11.6843,0.3559222383104204,30.08,New_VF30.xlsx,VF30,7,170,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4600548699315015,791,4090,10.34134007585335,3.484838441221803,10.34134007585335,3.484838441221803,4.24679558042396,0.8312987609941442,33.66389354662838,28.43090408566867,4.115528072680853,0.6173907124052705,34.05212968020859,5.341094515439157,4.450532035966432,0.8711796217171099,4.312967079653219,0.6470095139341482,28.16805322668272,30.01369685441088,27.97393515989571,5.10348667531884,28.16805322668271,30.01369685441078,27.97393515989571,5.103486675318841,1,1723,17369.39392393488,0.477111,0,0.954222,52069.5665710937,4.191896644596332,12421.48148815054,30,30,30,-6.973588373426765e-16,-3.920475055707584e-16,-1.474514954580286e-16,356.34,17.38831751077942,0.7944564356013459,7.747275217534975,7.690423241329467,14.23531918297202,0.04192983985666507,0.4157920879038452,0.27236318502098794,1.8418505083231342,0.2743766483673034,44.22752941198593,0.44554484427445384,2.110072553481993,4.888943639573146,7.747275217534975
VF30_C3,VF30_C3. SC8+FCC,C3,bcl,C,30,12.0802,0.3705690623467913,29.87,New_VF30.xlsx,VF30,8,173,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.5169650717817174,1331,6430,9.66190833959429,4.680294537420224,9.66190833959429,4.680294537420224,3.541118806210575,0.61617021083459,32.79496285756844,32.34088897438314,3.37221086565787,0.3742455800588115,32.015555085964,6.784612512449792,4.008193607265187,0.697443275758758,3.817006650659185,0.4236087021164402,28.60251857121288,33.38680318599222,28.992222457018,5.764613374742616,28.60251857121288,33.38680318599218,28.992222457018,5.764613374742616,1,2443,22769.39392393512,0.441735,0,0.88347,63196.51799430143,4.527601389973627,13958.05693810637,30,30,30,-3.131175874138137e-16,5.056718932472393e-16,-6.505213034913027e-19,382.71,29.59412368969885,0.8081221215273139,10.157754381107083,9.976585543603578,14.392278998029834,0.03959182356949673,0.2648318439656224,0.5799803822497999,7.585930388544892,0.5905124797462626,33.711373407134325,0.3432355182269784,5.891298268754065,13.110360040306912,10.157754381107083
VF30_C4,VF30_C4. SC+DGR,C4,bcl,C,30,10.8548,0.33142562750801374,30.01,New_VF30.xlsx,VF30,9,176,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.5391206835127981,666,2340,7.027027027027027,4.819994932377068,7.027027027027027,4.819994932377068,4.648185143937911,0.7405777502547625,29.99999999999934,29.19147245931232,4.463207075045331,0.3218293948774661,30,17.75868969538651,3.560845394326401,0.567336022441903,3.419138839128923,0.2465445508346097,29.99999999999934,29.19147245931247,30,17.75868969538651,29.99999999999934,29.19147245931232,30,17.75868969538651,1,348,10876.75323681482,0.65268,0,1.30536,44604.5794412133,3.064288778574492,14556.25845484555,30,30,30,-6.012551567735613e-15,1.474514954580286e-16,1.734723475976807e-18,494.03,35.60376452697425,0.8170914037377773,10.929343083281172,10.736007015457352,19.578717969635555,0.04161656201835048,0.5243975898002446,0.16163156138170612,2.3467641401960426,0.1645422534545384,30.15413442396941,0.3069715584429518,1.766526787427086,4.395486052402456,10.929343083281172
VF30_C5,VF30_C5. SC+DGR2,C5,bcl,C,30,10.9686,0.33523536482991845,29.98,New_VF30.xlsx,VF30,10,179,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.6329181306857149,3096,7020,4.534883720930233,0.7781824144493177,4.534883720930233,0.7781824144493177,1.912013910126251,0.5867297897740104,29.99999999999882,27.85452711902544,1.944144469661688,0.2271043299810052,30,22.21203850363801,1.501738854953072,0.460830811949427,1.526974921192026,0.1783728636357251,29.99999999999878,27.85452711902542,30,22.21203850363801,29.99999999999883,27.85452711902543,30,22.21203850363801,1,-2262,13422.33764908687,0.6365999999999999,0,1.2732,53687.68309303897,3.141690229343387,17088.7895285143,30,30,30,-1.675742877793596e-15,3.122502256758253e-16,2.424276057677588e-16,423.68,20.980284514140365,0.8158507988185225,14.42957199547897,12.968165303389767,16.041797322028337,0.039833453921924805,0.25949882041594685,0.15046260009171758,5.03791982014113,0.16741851062639446,61.811198483268605,0.687768175200564,2.1711109206503996,5.340783223108609,14.42957199547897
VF30_C6,VF30_C6. SC+OR,C6,bcl,C,30,10.6086,0.3246657942857662,29.94,New_VF30.xlsx,VF30,11,182,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.8454594729115935,1296,3420,5.277777777777778,0.7051930922075863,5.277777777777778,0.7051930922075863,2.436014276182205,0.4136999483961163,30.0000000000022,31.22525209354294,2.426997931582141,0.1950995691583066,30,19.01021887422926,1.304215802646004,0.2214904959825014,1.299388548871475,0.1044542077086982,30.0000000000022,31.22525209354293,30,19.01021887422926,30.0000000000022,31.22525209354294,30,19.01021887422926,1,-462,8331.16882454279,0.9339,0,1.8678,48886.18860394695,2.141556911874933,22827.40576861303,30,30,30,1.035629915158154e-15,-5.633514488234681e-16,3.543172699682628e-16,527.39,33.16230676641593,0.12278843357130664,25.456541039851768,21.744526505683233,20.431266397884738,0.04069090518119306,0.3176872865791431,0.13883417037649895,0.6844645359425373,0.16253459255594258,65.57000590714127,0.7676348095794129,3.534237755923118,8.977015871189822,25.456541039851768
VF30_C7,VF30_C7. SC+FCC+BCC,C7,bcl,C,30,12.7293,0.39008889789593326,29.9,New_VF30.xlsx,VF30,12,185,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4577189856887216,791,4340,10.97345132743363,5.507008478026737,10.97345132743363,5.507008478026737,4.681001462359592,0.6337838102415162,34.47904181153895,22.14145076179776,4.598125880265186,0.4144631709077064,36.40879095878663,7.635165684174551,5.318836313016535,0.7201434076919331,5.224668075930809,0.4709380634802593,29.7802060612535,24.09854527280385,28.58641422048069,6.147151600981585,29.78020606125354,24.09854527280384,28.58641422048069,6.147151600981585,1,1973,20315.54634664178,0.44004,0,0.88008,56169.49647120936,4.545041359876375,12358.41261359548,30,30,30,-1.578598363138894e-15,-7.546047120499111e-17,8.239936510889834e-18,244.84,12.589722849331853,0.07090979613200135,9.274313834008016,7.930485022814307,9.940754014517685,0.04258203693467694,0.3829525199790163,0.11179824492227756,5.35490474134477,0.13074257205173379,62.9917363370329,0.736657505887845,1.0368520095004952,2.1919263098252317,9.274313834008016
VF30_C8,VF30_C8. SC+BCC,C8,bcl,C,30,10.997,0.33768025175623706,29.84,New_VF30.xlsx,VF30,13,188,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4574000185987346,341,1540,9.03225806451613,2.632737985047641,9.03225806451613,2.632737985047641,5.478021053705605,0.3836992203682345,33.24254112935414,26.41715992035668,5.476112743579368,0.2216750138410127,33.31739315678119,4.144715053626725,4.012461475028497,0.281046444442663,4.011063703682081,0.1623693016681261,33.24254112935412,26.41715992035672,33.31739315678119,4.144715053626725,33.24254112935414,26.41715992035668,33.31739315678119,4.144715053626725,1,523,8436.152422706498,0.682626,0,1.365252,36183.21160391148,2.929862032796877,12349.80050216583,30,30,30,2.071259830316308e-15,3.295974604355933e-17,-2.792904796322659e-16,474.88,20.92709487722106,0.8827211476908403,10.57828404073554,10.361783886546688,18.656702508465944,0.041266724098347,0.44166588322405526,0.17284299279149049,1.9742542337001,0.17645439165866872,49.513723463954804,0.5054826817959286,1.8283822721991918,4.4651299720088655,10.57828404073554
VF30_C9,VF30_C9. SC2+BCC,C9,bcl,C,30,10.6762,0.32575540130625086,30.03,New_VF30.xlsx,VF30,14,191,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4404961064036458,491,1990,8.10590631364562,5.451922123451925,8.10590631364562,5.451922123451925,5.369925840556096,0.7787247600912321,32.5598148072456,30.52329258828244,4.741903974515265,1.169920739240689,31.71779094353187,23.73534428293076,4.510980938159307,0.6541640710033436,3.983414124282404,0.9827864128055573,32.5598148072456,30.52329258828243,31.71779094353187,23.73534428293076,32.5598148072456,30.52329258828244,31.71779094353187,23.73534428293076,1,523,10686.15242270646,0.5952059999999999,0,1.190412,39963.96162974982,3.360181180969278,11893.39487289844,30,30,30,1.085936895961481e-15,1.07032438467769e-15,-4.683753385137379e-17,501.95,23.637367083166293,0.849595949544964,12.557652881701474,11.868091263708186,19.476098996375114,0.04060494055395509,0.45811191938296947,0.13836012558690255,0.5457400769562203,0.1463991463481609,50.209023796733376,0.5312627602523716,1.7374784297889445,4.398459144817989,12.557652881701474
VF30_L1,VF30_L1. Octahedron,L1,bcl,L,30,10.9134,0.33177761588949034,30.14,New_VF30.xlsx,VF30,22,209,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4244448415253612,450,1500,6.666666666666667,1.887716712732035,6.666666666666667,1.887716712732035,4.242640687119285,0,30.00000000000083,21.21320343559688,4.242640687119285,0,30,10.6184065091177,2.801898747405752,0,2.801898747405752,0,30.00000000000083,21.21320343559693,30,10.6184065091177,30.00000000000083,21.21320343559693,30,10.6184065091177,1,156,6363.961030678743,0.757101,0,1.514202,30273.40003826374,2.641655472651602,11460.01072118475,30,30,30,2.844946500601964e-16,1.734723475976807e-18,-2.844946500601964e-16,465.36,20.89753196503381,0.04789679176881867,19.14559039885893,11.743637815506412,19.75888439001594,0.04444622773431302,0.6452908525016327,0.03292033709009132,0.3348963455934906,0.05366985082654925,56.19629071584201,0.9161651448072304,0.6302792897192518,1.5666021599982063,19.14559039885893
VF30_L10,VF30_L10. Lattice Auxetic,L10,bcl,L,30,10.5181,0.3212523383194167,30.0,New_VF30.xlsx,VF30,31,236,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4844744375397967,951,3220,6.771819137749737,3.010417833019144,6.771819137749737,3.010417833019144,3.803796614717657,0.8248702592472493,15.58746915337626,21.41184058633141,3.629648761103765,0.4354186618592559,12.06607287221617,12.22227646826788,3.261981489338527,0.7073752330394043,3.112639362922361,0.3733973603115135,37.20626542331055,34.53517016399343,38.96696356389192,17.16734651978976,37.20626542331055,34.53517016399341,38.96696356389192,17.16734651978976,1,373,12248.2250993911,0.58305,0,1.1661,44870.28492779182,3.430237543949918,13080.80981357451,30,30,30,5.192894725336572e-15,-8.443766519317109e-16,1.214306433183765e-17,165.9,5.706832650383624,0.03775851804563721,5.421757070668654,3.0637470275615706,5.360964004905828,0.034258518045637204,0.7784827912140335,0.0218076295948533,0.24210805183445677,0.03859185137897054,53.68559436127184,0.9500466200466198,0.11823566995041888,0.3035113840580818,5.421757070668654
VF30_L11,VF30_L11. FBCCz,L11,bcl,L,30,11.1411,0.3394883699206043,30.07,New_VF30.xlsx,VF30,32,239,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.46010163711311,641,2380,7.425897035881436,4.384049588637408,7.425897035881436,4.384049588637408,4.776185398004107,0.5753688235270721,44.82513777052256,15.3521720669698,4.638136242771757,0.3893187334122299,44.61870412770346,5.33172616726425,4.048987282133017,0.4877660423254257,3.931956801264629,0.3300430089964649,26.19706401889443,18.32062925085336,25.29243541253733,16.27011753499244,26.19706401889447,18.32062925085333,25.29243541253733,16.27011753499244,1,463,11367.32124724974,0.5898,0,1.1796,42125.27705003042,3.39097999321804,12422.74420205397,30,30,30,-5.551115123125783e-17,-2.775557561562891e-17,-2.602085213965211e-18,262.61,10.800566356733176,0.0401714805960985,8.563558557347482,5.786126592824618,9.98234163273824,0.03707869709094386,0.5652958277582303,0.03296229515746316,0.16364494479898756,0.04878471637927109,53.57243686778973,0.7928805096418743,0.2822745447655072,0.685676998230778,8.563558557347482
VF30_L12,VF30_L12. Weaire-Phelean,L12,bcl,L,30,11.2244,0.34010389443492767,30.24,New_VF30.xlsx,VF30,33,242,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.3987524342795261,6310,11450,3.629160063391442,0.6360335545946396,3.629160063391442,0.6360335545946396,1.373567661121869,0.2645736504195207,31.24927631471181,24.31279702995051,1.3697219635694,0.1194225676261154,30.56299450594003,7.373340537231641,1.471259277122825,0.2833907995067703,1.467140063806127,0.1279162035412548,33.83168306438198,25.60201550882874,34.74575734381288,9.437536261454541,31.5104269286832,24.45865735567489,31.13122929834251,7.646288363250187,1,-7474,15727.34971984504,0.4668,0,0.9336,46128.17363130764,4.284490145672665,10766.3157255472,30,30,30,-3.04639126424977e-15,5.182486384480711e-17,-9.085614205428527e-17,377.0,24.502316702897257,0.813696243258248,10.15980665390569,9.680458771388322,17.412979736858983,0.04805470886671355,0.4358839948045112,0.10281796272925108,3.430324338405616,0.1079092062212109,39.508340736791084,0.41464677716390597,1.0446106218776723,2.5328857386606614,10.15980665390569
