notebook_path,notebook_sha256,cell_index,cell_type,first_line,line_count,definitions
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,7,code,reset_runtime_state(CFG),8,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,8,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,9,code,if RUN_TYPE_A:,55,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,10,markdown,"후보 long-table 또는 선정본 workbook에서 `Candidate_ID`, `Selected_Model_ID`, `Model_Label`로 원하는 모델만 다시 불러와 CAD 파일을 생성합니다. 기본은 실행되지 않으므로 `MANUAL_EXPORT=True`로 바꿔 실행하세요.",3,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,11,code,RESULT_DIR_TO_LOAD = CFG.output_dir,48,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,12,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,13,code,if RUN_TYPE_B:,41,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,14,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,15,code,if len(models) == 0:,20,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,16,markdown,이 셀은 lattice `Start/End + radius` 데이터를 직접 rasterize해서 DLP용 slice image를 만듭니다. 첨부한 `6 Regions allocation`의 3×2 병합 방식과 `DLP_Additional_Layer`의 5-layer prepend 방식을 노트북 함수로 통합했습니다.,3,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,17,code,import shutil,741,"SliceConfig, _slice_log, sec_name, natural_sort_key, list_sec_files, count_white_pixels, _canvas_part_box, _node_radii_from_lattice"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,18,markdown,"모델별 `.slice` 폴더를 만들고, 30 mm 높이를 0.1 mm 간격으로 총 300장의 `SEC_0001.png`~`SEC_0300.png` 이미지로 저장합니다. 기본값은 실행되지 않으므로 `RUN_COM_SLICE_GENERATION=True`로 바꿔 실행하세요.",3,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,19,code,USER_RESULT_DIR_FOR_SLICING = None,70,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,20,markdown,"COM에서 생성한 1920×1080 이미지를 기준으로, 중앙 458 px 지름 원형 영역만 남기고 `SEC_0001.png`~`SEC_0240.png` 240장만 SOUND `.slice` 폴더로 저장합니다.",3,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,21,code,RUN_SOUND_SLICE_GENERATION = True,60,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,22,markdown,"각 타입의 individual `.slice` 폴더를 이름순으로 6개씩 묶어 3×2 위치에 병합합니다. 병합 폴더명은 `1-6.slice`처럼 첫 모델명과 마지막 모델명을 합쳐 생성합니다. 이후 template의 `.idx`, `default.gcode`, `Preview_t.png`를 복사하고, `.idx` 이름은 병합",3,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,23,code,RUN_COM_MERGE_AND_ADD_LAYERS = True,89,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,1,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,2,code,import os,213,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,3,code,def _ffill_horiz(values):,127,"_ffill_horiz, _sanitize_header, _make_unique, build_headers_from_rows, extract_range_df, export_df, _to_jsonable, export_json"
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,4,code,"wb = load_workbook(IMPORT_PATH, data_only=True)",23,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,5,code,X_all = safe_numeric_df(input_raw_df),57,build_group_ids_from_x
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,6,code,diag_rows = [],70,classify_output_family
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,7,code,"def repeated_group_splits(groups, n_splits=5, n_repeats=8, random_state=42, return_split_id=False, test_size=None):",839,"repeated_group_splits, aggregate_by_group_firstX, minmax_series, corr_prune_from_ranked, group_repeat_stats, get_prefilter_topk_for_output, get_inner_scoring_for_output, choose_best_summary_row"
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,8,code,ALL_SUMMARY_ROWS = [],516,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,9,code,FINAL_REFIT_SUMMARY_ROWS = [],163,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,10,code,FINAL_SUMMARY_DF = ALL_SUMMARY_DF.merge(,13,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method - New feature.ipynb,7f75fa05e34fb8aafb39362f6b39aa7d3d924efe7d6af5f3bc0b42debc393cb6,11,code,"BACKUP_FILES = sorted(Path(FINAL_BACKUP_DIR).glob(""*_model_backup.joblib""))",32,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,1,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,2,code,import os,214,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,3,code,def _ffill_horiz(values):,127,"_ffill_horiz, _sanitize_header, _make_unique, build_headers_from_rows, extract_range_df, export_df, _to_jsonable, export_json"
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,4,code,"wb = load_workbook(IMPORT_PATH, data_only=True)",23,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,5,code,X_all = safe_numeric_df(input_raw_df),57,build_group_ids_from_x
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,6,code,diag_rows = [],70,classify_output_family
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,7,code,"def repeated_group_splits(groups, n_splits=5, n_repeats=8, random_state=42, return_split_id=False, test_size=None):",839,"repeated_group_splits, aggregate_by_group_firstX, minmax_series, corr_prune_from_ranked, group_repeat_stats, get_prefilter_topk_for_output, get_inner_scoring_for_output, choose_best_summary_row"
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,8,code,ALL_SUMMARY_ROWS = [],516,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,9,code,FINAL_REFIT_SUMMARY_ROWS = [],163,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,10,code,FINAL_SUMMARY_DF = ALL_SUMMARY_DF.merge(,13,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260418-1st method.ipynb,2d4e6b256c37bf8309bbeeb2869f6a5c2935216aab4b959d09c8b55802103402,11,code,"BACKUP_FILES = sorted(Path(FINAL_BACKUP_DIR).glob(""*_model_backup.joblib""))",32,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,1,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,2,code,import os,213,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,3,code,def _ffill_horiz(values):,127,"_ffill_horiz, _sanitize_header, _make_unique, build_headers_from_rows, extract_range_df, export_df, _to_jsonable, export_json"
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,4,code,"wb = load_workbook(IMPORT_PATH, data_only=True)",23,
experiments/lab_001_xy_connection_20260626/data/raw/professor_training_20260709/Training_260419-2nd method - New feature - Good. vibration.ipynb,11129a41bd4303d82c599148cd761adb3c858f58da017586e07fb0f06d055ff2,5,code,X_all = safe_numeric_df(input_raw_df),57,build_group_ids_from_x
