role,ordinal,excel_col,normalized_header,dtype,nan_count,raw_value_hash,nan_mask_hash
feature,33,AP,Structural parameters: External | Overlay images | Mass Orientation | Std,float64,0,55de4289c6e6c4f47b8deb6d1053c8b71a1f1b7d3425c656c8cc3768d5ab02b8,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,34,AQ,Structural parameters: External | Overlay images | Curvature | IP,float64,0,f61b5fcb83e467a151ff39e38f5ca202b8f026b1207bb5bcc618d77d3d82fba6,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,35,AR,Structural parameters: External | Overlay images | Curvature | IP-stdev,float64,0,2ea404324c824151659092c47c594e1c882cdfa11b06bc3004964b720de2e2ac,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,36,AS,Structural parameters: External | Overlay images | Curvature | LIP,float64,0,33abae41b2dc5f23fc3131861e571d6c0b1dffe7f415329d4faf6c3e9a798da0,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,37,AT,Structural parameters: External | Overlay images | Curvature | LIP-stdev,float64,0,975a65c7e13de57becbdda49cec6549af91c61754f80f69a4f5de3bb266ce97c,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,38,AU,Structural parameters: External | Overlay images | Curvature | LTP,float64,0,7d99f371ad3569f86ae71ec3dc0095ae23748c0ba6eb3aa23257c9a5164f21fa,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,39,AV,Structural parameters: External | Overlay images | Curvature | LIP-stdev__2,float64,0,5a46b33ccce39803ddb62d55ea3638509d271bb18c843bd697ca8ac7245c263f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,40,AW,Structural parameters: External | Overlay images | Curvature | AVG,float64,0,7571ee6bd48ca8cb4bff57c500958228f916509107863685febf05bc5b5350f7,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,41,AX,Structural parameters: External | Overlay images | Curvature | Std,float64,0,cdf3182fd89b48af06c11367f6a7a8b1412704120c66be6dd1d85608e4e1f8ea,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,42,AY,Structural parameters: External | Overlay images | Angle | IP,float64,0,03e8fe053a8b9b7acaf10ecdd4aceaa7ea57c955f95137404f4e8558bad2d2d8,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,43,AZ,Structural parameters: External | Overlay images | Angle | IP-stdev,float64,0,b8bd55962d8214148cb992632b835b4b6b2922d8428dca3f2830f0fb602ddaeb,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,44,BA,Structural parameters: External | Overlay images | Angle | LIP,float64,0,e596cf8e2578f27ab177474921da143e6b38522bac6c72d520ce84c9b640174a,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,45,BB,Structural parameters: External | Overlay images | Angle | LIP-stdev,float64,0,cc9eb6bfa3bd7c31d8475d6f37cc2b193a9c3c35ee08c8204aff8fbf64a55783,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,46,BC,Structural parameters: External | Overlay images | Angle | LTP,float64,0,e596cf8e2578f27ab177474921da143e6b38522bac6c72d520ce84c9b640174a,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,47,BD,Structural parameters: External | Overlay images | Angle | LIP-stdev__2,float64,0,cc9eb6bfa3bd7c31d8475d6f37cc2b193a9c3c35ee08c8204aff8fbf64a55783,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,48,BE,Structural parameters: External | Overlay images | Angle | AVG,float64,0,372506d5cf29c3344e234be83fe8fd819f2521d045ef830a6102c43dbbe1609d,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,49,BF,Structural parameters: External | Overlay images | Angle | Std,float64,0,63deda1d8c22f9b942bcea03550c300d389a60c07bc3286844c41d3b82cdd06e,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,50,BG,Structural parameters: External | Overlay images | perimeter to area | IP,float64,0,5da6741411a9af00ac2961bc82c735d712dc95fde9ff6738ec0d535ceca3ec02,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,51,BH,Structural parameters: External | Overlay images | perimeter to area | IP-stdev,float64,0,e41c25f278c8960340805bd84846d19247cdc7ad67dce2b03430cb10e1d65b9e,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,52,BI,Structural parameters: External | Overlay images | perimeter to area | LIP,float64,0,de1f8d0dfa52e896f2693979e9632cdd6450ad8003db52cf28f30f7e58ce9bdd,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,53,BJ,Structural parameters: External | Overlay images | perimeter to area | LIP-stdev,float64,0,9a66a7f9ac799ea747a746c6003b7d6044f603a07ec1172e490d93c399ef21ff,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,54,BK,Structural parameters: External | Overlay images | perimeter to area | LTP,float64,0,de1f8d0dfa52e896f2693979e9632cdd6450ad8003db52cf28f30f7e58ce9bdd,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,55,BL,Structural parameters: External | Overlay images | perimeter to area | LIP-stdev__2,float64,0,9a66a7f9ac799ea747a746c6003b7d6044f603a07ec1172e490d93c399ef21ff,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,56,BM,Structural parameters: External | Overlay images | perimeter to area | AVG,float64,0,65097fa657bf8562b840810e326543ef5b7d8e559cf0a14837ecc1f626318178,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,57,BN,Structural parameters: External | Overlay images | perimeter to area | Std,float64,0,4a5d59f8981371f0c0cf2bbc2c2d8267a3eb98b957f6eb2de9b90cd290d90b68,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,58,BO,Structural parameters: External | Overlay images | Initial Area | mm^2,float64,0,c8cc564c420e992f94bbcd17bdcbac284b5b559955a03451c8c7d1e19eb8fdf8,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,59,BP,Structural parameters: External | Global distribution | x | Mean,float64,0,afefea3185d55b357896b069a78d9740064e2ec98a0153b4408c7d1f6c687dbe,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,60,BQ,Structural parameters: External | Global distribution | x | Stdev,float64,0,558188db578a4065caee8757966c6f36f25cb4a407aa988e4064454e69fb87bb,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,61,BR,Structural parameters: External | Global distribution | y | Mean,float64,0,b8b55597a004c456c4ab4efcc703712acadf0992933b1b283ab8a12a3d4f81a7,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,62,BS,Structural parameters: External | Global distribution | y | Stdev,float64,0,9caf47727899173ae3f3f0dbc3a8d67c2183a24e92c44772b19bd840a73172e3,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,63,BT,Structural parameters: External | Global distribution | z | Mean,float64,0,e019819c4e86351171c38f7af34d6fc3ab3406aff22489c8b6904e0a15219eaa,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,64,BU,Structural parameters: External | Global distribution | z | Stdev,float64,0,803548afdc5c92a9dabfbc15f623da78256a3b0be0142538fde7b34482cccd43,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,65,BV,Structural parameters: External | Global distribution | xy | Mean,float64,0,bacc22625ab516b323d1009519557333b702f32ae54295bc83cde8f2a8686591,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,66,BW,Structural parameters: External | Global distribution | xy | Stdev,float64,0,3de3e311f6685a8f5f22143a12fff25cde3a0fda8b7f850fe3d3b237706a697d,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,67,BX,Structural parameters: External | Global distribution | yz | Mean,float64,0,38b93a1a384ac10ac7f804b307ab95bf8497547290205b28a5d7f1f0c6e6d07e,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,68,BY,Structural parameters: External | Global distribution | yz | Stdev,float64,0,0fb20bae002e58897d7a4287dfa2cc215165404e520831ec5d07d7bae9da0f4f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,69,BZ,Structural parameters: External | Global distribution | xz | Mean,float64,0,9f0bf357562a8d1f14693c97afe27f189650090d2d71d6c8fce988763fc83838,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,70,CA,Structural parameters: External | Global distribution | xz | Stdev,float64,0,c340283d7d54d34a7160d6fbe9bb04dd93d66aa8436922ef79384f0c22250ff6,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,71,CB,Structural parameters: External | Global distribution | xyz | Mean,float64,0,ec69d5c60ee90c0ebb5511967fc14bea92ebf602edbee6b9ed5333cb1ff0b9c6,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,72,CC,Structural parameters: External | Global distribution | xyz | Stdev,float64,0,d7d89d3c95d46ee8b3c68d80b335e1f35ad988e087cea8f8128e995689612897,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,73,CD,Structural parameters: External | Local distribution | x | Mean,float64,0,a090e4da901aeaedf2208d84937d82b41b7df46d95a05037d4a9a3b54c730677,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,74,CE,Structural parameters: External | Local distribution | x | Stdev,float64,0,28d2b240883baea13bb4516c342457d7278c9b9f51849a3491b305ec085f7249,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,75,CF,Structural parameters: External | Local distribution | y | Mean,float64,0,20e8a644bbff143cbaa48a2fa71afad0e70e91d5ab347d5f43a7081732414c46,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,76,CG,Structural parameters: External | Local distribution | y | Stdev,float64,0,77e5e95449e905c33ccf7c412d1913da749601d30cc175aece3b321fa1ea3037,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,77,CH,Structural parameters: External | Local distribution | z | Mean,float64,0,2c3c953764329272439b08a5c88b0c3753899af8540ab2ab2002af8b733282d9,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,78,CI,Structural parameters: External | Local distribution | z | Stdev,float64,0,f76852eb71fe3fc495cba3d5e8f5e479e482689ee01e56e27cb4e621e85b3025,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
